Parameter Sets,Stats,Variance Ratio,SVM Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,Random Classifier Accuracy
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.032313432835821), 'Stressed Variance': np.float64(95.53955285698373), 'Stressed Steady State Time': 10.0}",0.11,0.775,0.7,0.6,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.842089552238806), 'Normal Variance': np.float64(1144.3215568278013), 'Normal Steady State Time': 10.0}",0.11,0.775,0.7,0.6,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.25044776119403), 'Stressed Variance': np.float64(145.7422759189129), 'Stressed Steady State Time': 10.0}",0.12,0.725,0.6625,0.5625,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.73544776119403), 'Normal Variance': np.float64(982.5894150980174), 'Normal Steady State Time': 10.0}",0.12,0.725,0.6625,0.5625,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.3366044776119403), 'Stressed Variance': np.float64(169.58733175400982), 'Stressed Steady State Time': 10.0}",0.12,0.775,0.7625,0.6125,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.03205223880597), 'Normal Variance': np.float64(1084.3984875793608), 'Normal Steady State Time': 10.0}",0.12,0.775,0.7625,0.6125,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1286567164179104), 'Stressed Variance': np.float64(116.08038774782804), 'Stressed Steady State Time': 10.0}",0.12,0.7875,0.65,0.5875,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.9797761194029855), 'Normal Variance': np.float64(1197.784068606594), 'Normal Steady State Time': 10.0}",0.12,0.7875,0.65,0.5875,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1676119402985075), 'Stressed Variance': np.float64(121.97675698373804), 'Stressed Steady State Time': 10.0}",0.12,0.775,0.75,0.55,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.852611940298507), 'Normal Variance': np.float64(1159.9300678046336), 'Normal Steady State Time': 10.0}",0.12,0.775,0.75,0.55,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2211.5162492806476), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2194029850746269), 'Stressed Variance': np.float64(146.60492203163287), 'Stressed Steady State Time': 10.0}",0.12,0.8375,0.7125,0.6,0.475
