Parameter Sets,Stats,Variance Ratio,SVM Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,Random Classifier Accuracy
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.376604477611941), 'Normal Variance': np.float64(1215.804176530129), 'Normal Steady State Time': 10.0}",1.7699999999999994,0.6125,0.575,0.6,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8520.431064918997), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.562761194029851), 'Stressed Variance': np.float64(1959.4123296892403), 'Stressed Steady State Time': 10.0}",1.7699999999999994,0.5375,0.5875,0.525,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.613246268656717), 'Normal Variance': np.float64(1441.6500111035307), 'Normal Steady State Time': 10.0}",1.7699999999999994,0.5375,0.5875,0.525,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8520.431064918997), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.117574626865672), 'Stressed Variance': np.float64(2408.5609150130877), 'Stressed Steady State Time': 10.0}",1.7699999999999994,0.55,0.6125,0.4375,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.983432835820896), 'Normal Variance': np.float64(1177.821516573847), 'Normal Steady State Time': 10.0}",1.7699999999999994,0.55,0.6125,0.4375,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8520.431064918997), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.858992537313433), 'Stressed Variance': np.float64(1953.142318388004), 'Stressed Steady State Time': 10.0}",1.7699999999999994,0.625,0.6875,0.675,0.4375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.901194029850746), 'Normal Variance': np.float64(1028.5103866339941), 'Normal Steady State Time': 10.0}",1.7699999999999994,0.625,0.6875,0.675,0.4375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8520.431064918997), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.194888059701492), 'Stressed Variance': np.float64(2419.7520559576183), 'Stressed Steady State Time': 10.0}",1.7699999999999994,0.575,0.5875,0.6125,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.398955223880597), 'Normal Variance': np.float64(1250.2164317442637), 'Normal Steady State Time': 10.0}",1.7699999999999994,0.575,0.5875,0.6125,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8520.431064918997), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.953619402985074), 'Stressed Variance': np.float64(2142.300348840221), 'Stressed Steady State Time': 10.0}",1.7699999999999994,0.6125,0.675,0.575,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.257462686567164), 'Normal Variance': np.float64(1321.309086099354), 'Normal Steady State Time': 10.0}",1.7699999999999994,0.6125,0.675,0.575,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8520.431064918997), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.164402985074627), 'Stressed Variance': np.float64(2448.807897031633), 'Stressed Steady State Time': 10.0}",1.7699999999999994,0.5875,0.5875,0.4875,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.902723880597015), 'Normal Variance': np.float64(1174.3014701924149), 'Normal Steady State Time': 10.0}",1.7699999999999994,0.5875,0.5875,0.4875,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.526679104477612), 'Stressed Variance': np.float64(1901.0839897179217), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.45,0.6375,0.6125,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.081417910447761), 'Normal Variance': np.float64(1090.8146397805747), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.45,0.6375,0.6125,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.447910447761194), 'Stressed Variance': np.float64(1830.7001971263091), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.625,0.625,0.6125,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.2073880597014925), 'Normal Variance': np.float64(1192.8160946703051), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.625,0.625,0.6125,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.647873134328358), 'Stressed Variance': np.float64(2183.9890290585317), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.575,0.6375,0.5125,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.383320895522388), 'Normal Variance': np.float64(1384.6459382253843), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.575,0.6375,0.5125,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.599962686567165), 'Stressed Variance': np.float64(2030.7176194015929), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.625,0.7375,0.7375,0.4
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.937574626865672), 'Normal Variance': np.float64(1161.532931430998), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.625,0.7375,0.7375,0.4
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.581679104477612), 'Stressed Variance': np.float64(1918.419149419414), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.5625,0.6,0.5125,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.101828358208955), 'Normal Variance': np.float64(1097.495713075017), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.5625,0.6,0.5125,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.980373134328358), 'Stressed Variance': np.float64(2161.10864463689), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.6125,0.5875,0.55,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.412574626865672), 'Normal Variance': np.float64(1240.9447448638336), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.6125,0.5875,0.55,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.703768656716418), 'Stressed Variance': np.float64(2203.2463141554354), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.6,0.6375,0.475,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.462537313432835), 'Normal Variance': np.float64(1374.0203875918914), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.6,0.6375,0.475,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.285522388059701), 'Stressed Variance': np.float64(2660.1172083092), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.6125,0.575,0.5125,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.901940298507463), 'Normal Variance': np.float64(1174.3015783247938), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.6125,0.575,0.5125,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.169776119402985), 'Stressed Variance': np.float64(2090.29669845734), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.55,0.5875,0.5625,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.085149253731343), 'Normal Variance': np.float64(1091.563869007574), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.55,0.5875,0.5625,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8544.492976631664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.915410447761194), 'Stressed Variance': np.float64(2110.882732667354), 'Stressed Steady State Time': 10.0}",1.7799999999999994,0.6375,0.625,0.5875,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.42365671641791), 'Normal Variance': np.float64(1237.3643209567833), 'Normal Steady State Time': 10.0}",1.7799999999999994,0.6375,0.625,0.5875,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.370746268656716), 'Stressed Variance': np.float64(1942.8968009356204), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.525,0.6125,0.625,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.187313432835821), 'Normal Variance': np.float64(1319.6630480062374), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.525,0.6125,0.625,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.395373134328358), 'Stressed Variance': np.float64(1757.4575606816666), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.625,0.625,0.5625,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.953619402985074), 'Normal Variance': np.float64(1164.158408541713), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.625,0.625,0.5625,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.778171641791045), 'Stressed Variance': np.float64(2003.3091130750167), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.5375,0.5875,0.55,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.822201492537314), 'Normal Variance': np.float64(1012.4600667952217), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.5375,0.5875,0.55,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.211156716417911), 'Stressed Variance': np.float64(2282.644703885888), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.6125,0.6375,0.6125,0.4125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.330410447761194), 'Normal Variance': np.float64(1197.3312393837714), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.6125,0.6375,0.6125,0.4125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.268544776119403), 'Stressed Variance': np.float64(1842.8869508673984), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.6,0.65,0.5,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.4667537313432835), 'Normal Variance': np.float64(1375.1422528945757), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.6,0.65,0.5,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.3147014925373135), 'Stressed Variance': np.float64(1735.5623062541772), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.7375,0.7,0.7125,0.5375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.977350746268657), 'Normal Variance': np.float64(1180.2940019366783), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.7375,0.7,0.7125,0.5375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.594888059701493), 'Stressed Variance': np.float64(1911.3193544650812), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.55,0.6375,0.6,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.936082089552238), 'Normal Variance': np.float64(1042.7549816649032), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.55,0.6375,0.6,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.159179104477612), 'Stressed Variance': np.float64(2215.445781415683), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.575,0.575,0.4625,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.327798507462687), 'Normal Variance': np.float64(1224.0102720191023), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.575,0.575,0.4625,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.309813432835821), 'Stressed Variance': np.float64(1940.120769368178), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.625,0.6,0.5625,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.397425373134328), 'Normal Variance': np.float64(1389.536194863834), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.625,0.6,0.5625,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8568.487393185262), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.343917910447761), 'Stressed Variance': np.float64(1742.6360861425148), 'Stressed Steady State Time': 10.0}",1.7899999999999991,0.6125,0.6875,0.6,0.425
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.900820895522388), 'Normal Variance': np.float64(1151.2996411171753), 'Normal Steady State Time': 10.0}",1.7899999999999991,0.6125,0.6875,0.6,0.425
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.771268656716418), 'Stressed Variance': np.float64(1682.0215625696148), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.575,0.65,0.6625,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.9925), 'Normal Variance': np.float64(1061.846548227612), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.575,0.65,0.6625,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.214850746268657), 'Stressed Variance': np.float64(1853.1950331866785), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.6125,0.6875,0.625,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.454365671641791), 'Normal Variance': np.float64(1289.9897831797173), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.6125,0.6875,0.625,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.054029850746269), 'Stressed Variance': np.float64(2158.523573312542), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.575,0.6,0.5375,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.322835820895523), 'Normal Variance': np.float64(1349.3294337491648), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.575,0.6,0.5375,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.851977611940298), 'Stressed Variance': np.float64(2084.5689475815884), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.5375,0.6375,0.5,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.961268656716418), 'Normal Variance': np.float64(1179.5769327188684), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.5375,0.6375,0.5,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.921156716417911), 'Stressed Variance': np.float64(1752.8839703037984), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.5625,0.625,0.5125,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.051791044776119), 'Normal Variance': np.float64(1076.1997803742483), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.5625,0.625,0.5125,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.611082089552239), 'Stressed Variance': np.float64(2105.5874368887835), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.6,0.6375,0.5625,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.314067164179105), 'Normal Variance': np.float64(1212.500354353698), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.6,0.6375,0.5625,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.781044776119403), 'Stressed Variance': np.float64(2021.4605660726222), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.625,0.6875,0.5875,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.357537313432836), 'Normal Variance': np.float64(1359.3593312486078), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.625,0.6875,0.5875,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(5.098694029850746), 'Stressed Variance': np.float64(2239.30865501086), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.625,0.6875,0.625,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.982798507462687), 'Normal Variance': np.float64(1190.5583981385053), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.625,0.6875,0.625,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.81070895522388), 'Stressed Variance': np.float64(1714.8539823332035), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.5125,0.6,0.55,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.0201492537313435), 'Normal Variance': np.float64(1071.5099671419023), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.5125,0.6,0.55,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8592.414879397664), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.3373507462686565), 'Stressed Variance': np.float64(1902.72235119041), 'Stressed Steady State Time': 10.0}",1.7999999999999992,0.575,0.6625,0.5125,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.360410447761194), 'Normal Variance': np.float64(1211.9460371449654), 'Normal Steady State Time': 10.0}",1.7999999999999992,0.575,0.6625,0.5125,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8616.275992252828), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.352611940298507), 'Stressed Variance': np.float64(1736.7867095956788), 'Stressed Steady State Time': 10.0}",1.8099999999999992,0.575,0.6,0.5375,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.549477611940299), 'Normal Variance': np.float64(1435.1485967420358), 'Normal Steady State Time': 10.0}",1.8099999999999992,0.575,0.6,0.5375,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8616.275992252828), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.414776119402985), 'Stressed Variance': np.float64(1999.2610950991314), 'Stressed Steady State Time': 10.0}",1.8099999999999992,0.6875,0.7375,0.575,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.988320895522388), 'Normal Variance': np.float64(1191.4125128522498), 'Normal Steady State Time': 10.0}",1.8099999999999992,0.6875,0.7375,0.575,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8616.275992252828), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.776343283582089), 'Stressed Variance': np.float64(1745.7212463299174), 'Stressed Steady State Time': 10.0}",1.8099999999999992,0.5875,0.6625,0.5875,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.96705223880597), 'Normal Variance': np.float64(1057.3438025047337), 'Normal Steady State Time': 10.0}",1.8099999999999992,0.5875,0.6625,0.5875,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8616.275992252828), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.8726865671641795), 'Stressed Variance': np.float64(2356.6837912898195), 'Stressed Steady State Time': 10.0}",1.8099999999999992,0.625,0.6625,0.5375,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.409067164179104), 'Normal Variance': np.float64(1224.8865073387726), 'Normal Steady State Time': 10.0}",1.8099999999999992,0.625,0.6625,0.5375,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8616.275992252828), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.333619402985074), 'Stressed Variance': np.float64(1771.2520189894747), 'Stressed Steady State Time': 10.0}",1.8099999999999992,0.5625,0.6125,0.6125,0.4125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.196194029850746), 'Normal Variance': np.float64(1335.4484482011583), 'Normal Steady State Time': 10.0}",1.8099999999999992,0.5625,0.6125,0.6125,0.4125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8616.275992252828), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.545037313432836), 'Stressed Variance': np.float64(1984.9934194015925), 'Stressed Steady State Time': 10.0}",1.8099999999999992,0.6,0.7625,0.575,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.925970149253732), 'Normal Variance': np.float64(1165.2624300289597), 'Normal Steady State Time': 10.0}",1.8099999999999992,0.6,0.7625,0.575,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8616.275992252828), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.769141791044776), 'Stressed Variance': np.float64(1768.7692791142238), 'Stressed Steady State Time': 10.0}",1.8099999999999992,0.5875,0.65,0.5625,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.021007462686567), 'Normal Variance': np.float64(1079.2939243581532), 'Normal Steady State Time': 10.0}",1.8099999999999992,0.5875,0.65,0.5625,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8616.275992252828), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.870708955223881), 'Stressed Variance': np.float64(2378.715485318278), 'Stressed Steady State Time': 10.0}",1.8099999999999992,0.5875,0.6125,0.525,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.397238805970149), 'Normal Variance': np.float64(1215.5396640175984), 'Normal Steady State Time': 10.0}",1.8099999999999992,0.5875,0.6125,0.525,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(8616.275992252828), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(4.281641791044776), 'Stressed Variance': np.float64(1692.339110737358), 'Stressed Steady State Time': 10.0}",1.8099999999999992,0.525,0.6,0.6625,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.495), 'Normal Variance': np.float64(1408.7921391791044), 'Normal Steady State Time': 10.0}",1.8099999999999992,0.525,0.6,0.6625,0.45
