Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.298235294117648, 'Stressed Variance': 147.5937447849728, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.625,0.8125,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.170840336134454, 'Stressed Variance': 148.54619173080997, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.5875,0.8625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.170840336134454, 'Stressed Variance': 148.54619173080997, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.5875,0.8625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.170840336134454, 'Stressed Variance': 148.54619173080997, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.5875,0.8625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.170840336134454, 'Stressed Variance': 148.54619173080997, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.5875,0.8625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.170840336134454, 'Stressed Variance': 148.54619173080997, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.5875,0.8625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.170840336134454, 'Stressed Variance': 148.54619173080997, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.5875,0.8625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.170840336134454, 'Stressed Variance': 148.54619173080997, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.5875,0.8625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.170840336134454, 'Stressed Variance': 148.54619173080997, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.5875,0.8625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.170840336134454, 'Stressed Variance': 148.54619173080997, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6,1.0,0.5875,0.8625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.265084033613446, 'Stressed Variance': 163.26052877445096, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.6375,1.0,0.6875,0.8375,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.132605042016806, 'Stressed Variance': 157.2772058187981, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875,0.6,1.0,0.575,0.8625,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.132605042016806, 'Stressed Variance': 157.2772058187981, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875,0.6,1.0,0.575,0.8625,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.132605042016806, 'Stressed Variance': 157.2772058187981, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875,0.6,1.0,0.575,0.8625,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.132605042016806, 'Stressed Variance': 157.2772058187981, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875,0.6,1.0,0.575,0.8625,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.132605042016806, 'Stressed Variance': 157.2772058187981, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875,0.6,1.0,0.575,0.8625,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.132605042016806, 'Stressed Variance': 157.2772058187981, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875,0.6,1.0,0.575,0.8625,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.132605042016806, 'Stressed Variance': 157.2772058187981, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875,0.6,1.0,0.575,0.8625,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.132605042016806, 'Stressed Variance': 157.2772058187981, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875,0.6,1.0,0.575,0.8625,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.132605042016806, 'Stressed Variance': 157.2772058187981, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875,0.6,1.0,0.575,0.8625,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.98609243697479, 'Stressed Variance': 172.3055628822117, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0,0.65,0.975,0.6125,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.086302521008403, 'Stressed Variance': 174.15540901772474, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0,0.6375,1.0,0.575,0.875,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.086302521008403, 'Stressed Variance': 174.15540901772474, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0,0.6375,1.0,0.575,0.875,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.086302521008403, 'Stressed Variance': 174.15540901772474, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0,0.6375,1.0,0.575,0.875,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.086302521008403, 'Stressed Variance': 174.15540901772474, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0,0.6375,1.0,0.575,0.875,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.086302521008403, 'Stressed Variance': 174.15540901772474, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0,0.6375,1.0,0.575,0.875,0.45,1.0,0.9875
