Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.31736024909926924, 'rho': 422.6019532737527, 'd': 0.732185529666554, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851470588235294, 'Stressed Variance': 228.14638439199211, 'Stressed Steady State Time': 13.657740551843627}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.18999999999999995,0.9625,0.5625,0.9875,0.5875,0.8125,0.45,0.9875,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.31736024909926924, 'rho': 422.6019532737527, 'd': 0.732185529666554, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851470588235294, 'Stressed Variance': 228.14638439199211, 'Stressed Steady State Time': 13.657740551843627}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.18999999999999995,0.9625,0.5625,0.9875,0.5875,0.8125,0.45,0.9875,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.31736024909926924, 'rho': 422.6019532737527, 'd': 0.732185529666554, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851470588235294, 'Stressed Variance': 228.14638439199211, 'Stressed Steady State Time': 13.657740551843627}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.18999999999999995,0.9625,0.5625,0.9875,0.5875,0.8125,0.45,0.9875,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.31736024909926924, 'rho': 422.6019532737527, 'd': 0.732185529666554, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851470588235294, 'Stressed Variance': 228.14638439199211, 'Stressed Steady State Time': 13.657740551843627}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.18999999999999995,0.9625,0.5625,0.9875,0.5875,0.8125,0.45,0.9875,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.31736024909926924, 'rho': 422.6019532737527, 'd': 0.732185529666554, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851470588235294, 'Stressed Variance': 228.14638439199211, 'Stressed Steady State Time': 13.657740551843627}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.18999999999999995,0.9625,0.5625,0.9875,0.5875,0.8125,0.45,0.9875,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.31736024909926924, 'rho': 422.6019532737527, 'd': 0.732185529666554, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851470588235294, 'Stressed Variance': 228.14638439199211, 'Stressed Steady State Time': 13.657740551843627}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.18999999999999995,0.9625,0.5625,0.9875,0.5875,0.8125,0.45,0.9875,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.31736024909926924, 'rho': 422.6019532737527, 'd': 0.732185529666554, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851470588235294, 'Stressed Variance': 228.14638439199211, 'Stressed Steady State Time': 13.657740551843627}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.18999999999999995,0.9625,0.5625,0.9875,0.5875,0.8125,0.45,0.9875,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.31736024909926924, 'rho': 422.6019532737527, 'd': 0.732185529666554, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851470588235294, 'Stressed Variance': 228.14638439199211, 'Stressed Steady State Time': 13.657740551843627}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.18999999999999995,0.9625,0.5625,0.9875,0.5875,0.8125,0.45,0.9875,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.990168067226891, 'Stressed Variance': 242.5564579549467, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.6125,0.9875,0.6125,0.7875,0.45,1.0,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.965840336134454, 'Stressed Variance': 240.77559782324695, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.5125,0.975,0.4875,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.965840336134454, 'Stressed Variance': 240.77559782324695, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.5125,0.975,0.4875,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.965840336134454, 'Stressed Variance': 240.77559782324695, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.5125,0.975,0.4875,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.965840336134454, 'Stressed Variance': 240.77559782324695, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.5125,0.975,0.4875,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.965840336134454, 'Stressed Variance': 240.77559782324695, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.5125,0.975,0.4875,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.965840336134454, 'Stressed Variance': 240.77559782324695, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.5125,0.975,0.4875,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.965840336134454, 'Stressed Variance': 240.77559782324695, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.5125,0.975,0.4875,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.965840336134454, 'Stressed Variance': 240.77559782324695, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.5125,0.975,0.4875,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.3011106949618179, 'rho': 445.0919724074354, 'd': 0.732315952691559, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.965840336134454, 'Stressed Variance': 240.77559782324695, 'Stressed Steady State Time': 13.655308153872562}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.19999999999999996,0.975,0.5125,0.975,0.4875,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.09966386554622, 'Stressed Variance': 253.30149568533295, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.65,0.9875,0.6375,0.875,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.850714285714286, 'Stressed Variance': 244.20103310324126, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.5625,1.0,0.5125,0.8,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.850714285714286, 'Stressed Variance': 244.20103310324126, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.5625,1.0,0.5125,0.8,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.850714285714286, 'Stressed Variance': 244.20103310324126, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.5625,1.0,0.5125,0.8,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.850714285714286, 'Stressed Variance': 244.20103310324126, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.5625,1.0,0.5125,0.8,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.850714285714286, 'Stressed Variance': 244.20103310324126, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.5625,1.0,0.5125,0.8,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.850714285714286, 'Stressed Variance': 244.20103310324126, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.5625,1.0,0.5125,0.8,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.850714285714286, 'Stressed Variance': 244.20103310324126, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.5625,1.0,0.5125,0.8,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.850714285714286, 'Stressed Variance': 244.20103310324126, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.5625,1.0,0.5125,0.8,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.2864446974926999, 'rho': 467.5812080846762, 'd': 0.73243410584089, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.850714285714286, 'Stressed Variance': 244.20103310324126, 'Stressed Steady State Time': 13.653105337741257}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.20999999999999996,0.975,0.5625,1.0,0.5125,0.8,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.030210084033614, 'Stressed Variance': 265.1415663424193, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.9625,0.6125,0.9875,0.5875,0.7375,0.45,1.0,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.918319327731092, 'Stressed Variance': 260.9592946543323, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.975,0.5875,0.9625,0.55,0.7875,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.918319327731092, 'Stressed Variance': 260.9592946543323, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.975,0.5875,0.9625,0.55,0.7875,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.918319327731092, 'Stressed Variance': 260.9592946543323, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.975,0.5875,0.9625,0.55,0.7875,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.918319327731092, 'Stressed Variance': 260.9592946543323, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.975,0.5875,0.9625,0.55,0.7875,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.918319327731092, 'Stressed Variance': 260.9592946543323, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.975,0.5875,0.9625,0.55,0.7875,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.918319327731092, 'Stressed Variance': 260.9592946543323, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.975,0.5875,0.9625,0.55,0.7875,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.918319327731092, 'Stressed Variance': 260.9592946543323, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.975,0.5875,0.9625,0.55,0.7875,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.918319327731092, 'Stressed Variance': 260.9592946543323, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.975,0.5875,0.9625,0.55,0.7875,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.27314145775925075, 'rho': 490.0697671793382, 'd': 0.7325416427193983, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.918319327731092, 'Stressed Variance': 260.9592946543323, 'Stressed Steady State Time': 13.65110106625095}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.21999999999999995,0.975,0.5875,0.9625,0.55,0.7875,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.942100840336135, 'Stressed Variance': 274.7129502083186, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.65,0.9625,0.65,0.825,0.45,0.9875,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885966386554621, 'Stressed Variance': 275.29481146105496, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.55,0.95,0.5625,0.75,0.45,0.9875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885966386554621, 'Stressed Variance': 275.29481146105496, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.55,0.95,0.5625,0.75,0.45,0.9875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885966386554621, 'Stressed Variance': 275.29481146105496, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.55,0.95,0.5625,0.75,0.45,0.9875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885966386554621, 'Stressed Variance': 275.29481146105496, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.55,0.95,0.5625,0.75,0.45,0.9875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885966386554621, 'Stressed Variance': 275.29481146105496, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.55,0.95,0.5625,0.75,0.45,0.9875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885966386554621, 'Stressed Variance': 275.29481146105496, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.55,0.95,0.5625,0.75,0.45,0.9875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.2610194138487529, 'rho': 512.5577379405526, 'd': 0.7326399325737105, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885966386554621, 'Stressed Variance': 275.29481146105496, 'Stressed Steady State Time': 13.649269655382735}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.22999999999999995,0.9625,0.55,0.95,0.5625,0.75,0.45,0.9875,0.85
