class_name,label,split,tf,condition,x,y,representation,method
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-37.86857604980469,-1.7188458442687988,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),20.662622451782227,-0.5780888199806213,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,-2.480881690979004,-11.551531791687012,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,3.1142451763153076,0.098603256046772,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-24.957181930541992,-3.531716823577881,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-11.29468059539795,-0.516289234161377,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,3.2055578231811523,1.5295583009719849,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-20.932924270629883,1.749166488647461,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-8.449379920959473,-9.170589447021484,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,41.56107711791992,-1.5665428638458252,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,34.97896194458008,6.601147651672363,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),22.496170043945312,4.341066837310791,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,3.244713068008423,-8.81655216217041,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-23.648832321166992,6.2811279296875,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-5.895016193389893,-1.7040575742721558,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-6.7709832191467285,-12.860590934753418,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-30.976865768432617,1.8978064060211182,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-7.1443586349487305,2.179767370223999,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-9.169597625732422,-6.060128211975098,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),18.869741439819336,2.8999598026275635,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,36.3715934753418,7.246074199676514,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-9.654166221618652,-10.431965827941895,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),37.14189910888672,-0.605975329875946,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,5.0935797691345215,1.7593505382537842,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),16.760921478271484,4.324515342712402,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,36.013614654541016,-0.3882392346858978,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-35.62940979003906,-1.331424355506897,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-19.887771606445312,-0.3289896547794342,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,36.2481803894043,0.7036111950874329,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),13.551981925964355,5.737624645233154,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,4.615575790405273,-4.374373435974121,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-8.50876235961914,-0.6343804597854614,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-7.2853546142578125,-10.621301651000977,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),31.50238037109375,2.2798550128936768,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,8.098832130432129,1.8607293367385864,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-21.35187530517578,-11.2828950881958,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),26.544437408447266,6.653629779815674,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,3.0641207695007324,-2.0101380348205566,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-29.3507022857666,2.5807666778564453,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-25.26460075378418,4.365143299102783,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),22.045379638671875,3.6650257110595703,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-30.508947372436523,5.609947204589844,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,12.292277336120605,2.407966136932373,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-7.669672966003418,-3.8291969299316406,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-18.930953979492188,-12.220272064208984,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-13.99053955078125,-12.704639434814453,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-39.553768157958984,-2.129826307296753,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,35.537864685058594,11.047839164733887,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),24.947528839111328,2.4802815914154053,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),19.33991050720215,4.8738603591918945,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,39.8258056640625,4.91981840133667,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-27.808942794799805,6.352982044219971,SimCLR IY017-inst b512 D16 154043,t-SNE
