Parameter Sets,Stats,Variance Ratio,LSTM Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937328, 'rho': 737.4168557104923, 'd': 0.7332977424384659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.632519083969466, 'Stressed Variance': 367.39159899772733, 'Stressed Steady State Time': 13.637025482645805}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.32999999999999985,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937328, 'rho': 737.4168557104923, 'd': 0.7332977424384659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.632519083969466, 'Stressed Variance': 367.39159899772733, 'Stressed Steady State Time': 13.637025482645805}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.32999999999999985,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.65442748091603, 'Stressed Variance': 381.9938620768021, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.9375
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.811259541984732, 'Stressed Variance': 399.85212513111134, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.811259541984732, 'Stressed Variance': 399.85212513111134, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.811259541984732, 'Stressed Variance': 399.85212513111134, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.811259541984732, 'Stressed Variance': 399.85212513111134, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.811259541984732, 'Stressed Variance': 399.85212513111134, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.811259541984732, 'Stressed Variance': 399.85212513111134, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.811259541984732, 'Stressed Variance': 399.85212513111134, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.811259541984732, 'Stressed Variance': 399.85212513111134, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.1754015986727963, 'rho': 759.9014352235148, 'd': 0.7333424015329045, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.811259541984732, 'Stressed Variance': 399.85212513111134, 'Stressed Steady State Time': 13.636195014903018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.33999999999999986,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752290076335878, 'Stressed Variance': 413.91619704562675, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752557251908398, 'Stressed Variance': 412.53751254443216, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752557251908398, 'Stressed Variance': 412.53751254443216, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752557251908398, 'Stressed Variance': 412.53751254443216, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752557251908398, 'Stressed Variance': 412.53751254443216, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752557251908398, 'Stressed Variance': 412.53751254443216, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752557251908398, 'Stressed Variance': 412.53751254443216, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752557251908398, 'Stressed Variance': 412.53751254443216, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752557251908398, 'Stressed Variance': 412.53751254443216, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.17032304047500108, 'rho': 782.3858555527345, 'd': 0.7333845273170044, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.752557251908398, 'Stressed Variance': 412.53751254443216, 'Stressed Steady State Time': 13.635411748573084}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.34999999999999987,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.671374045801526, 'Stressed Variance': 407.4555164326088, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.623435114503817, 'Stressed Variance': 405.46468743662956, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.623435114503817, 'Stressed Variance': 405.46468743662956, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.623435114503817, 'Stressed Variance': 405.46468743662956, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.623435114503817, 'Stressed Variance': 405.46468743662956, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.623435114503817, 'Stressed Variance': 405.46468743662956, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.623435114503817, 'Stressed Variance': 405.46468743662956, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.623435114503817, 'Stressed Variance': 405.46468743662956, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.623435114503817, 'Stressed Variance': 405.46468743662956, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.16553033098360698, 'rho': 804.8701299660867, 'd': 0.7334243293968292, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.623435114503817, 'Stressed Variance': 405.46468743662956, 'Stressed Steady State Time': 13.634671770738825}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3599999999999999,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.835687022900764, 'Stressed Variance': 426.8363218562438, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.7
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851908396946564, 'Stressed Variance': 430.33516811374625, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851908396946564, 'Stressed Variance': 430.33516811374625, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851908396946564, 'Stressed Variance': 430.33516811374625, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851908396946564, 'Stressed Variance': 430.33516811374625, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851908396946564, 'Stressed Variance': 430.33516811374625, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851908396946564, 'Stressed Variance': 430.33516811374625, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851908396946564, 'Stressed Variance': 430.33516811374625, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851908396946564, 'Stressed Variance': 430.33516811374625, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.1609999943587435, 'rho': 827.3542702818493, 'd': 0.7334619948757283, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.851908396946564, 'Stressed Variance': 430.33516811374625, 'Stressed Steady State Time': 13.633971589345018}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3699999999999999,0.8
"[{'sigma_u': 18.0, 'sigma_b': 0.15671105719985054, 'rho': 849.8382870958076, 'd': 0.733497691295184, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.620076335877863, 'Stressed Variance': 424.72481831478353, 'Stressed Steady State Time': 13.63330807809682}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.3799999999999999,0.875
"[{'sigma_u': 18.0, 'sigma_b': 0.15671105719985054, 'rho': 849.8382870958076, 'd': 0.733497691295184, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991946564885497, 'Stressed Variance': 438.01233972233547, 'Stressed Steady State Time': 13.63330807809682}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3799999999999999,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.15671105719985054, 'rho': 849.8382870958076, 'd': 0.733497691295184, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991946564885497, 'Stressed Variance': 438.01233972233547, 'Stressed Steady State Time': 13.63330807809682}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3799999999999999,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.15671105719985054, 'rho': 849.8382870958076, 'd': 0.733497691295184, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991946564885497, 'Stressed Variance': 438.01233972233547, 'Stressed Steady State Time': 13.63330807809682}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3799999999999999,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.15671105719985054, 'rho': 849.8382870958076, 'd': 0.733497691295184, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991946564885497, 'Stressed Variance': 438.01233972233547, 'Stressed Steady State Time': 13.63330807809682}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3799999999999999,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.15671105719985054, 'rho': 849.8382870958076, 'd': 0.733497691295184, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991946564885497, 'Stressed Variance': 438.01233972233547, 'Stressed Steady State Time': 13.63330807809682}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3799999999999999,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.15671105719985054, 'rho': 849.8382870958076, 'd': 0.733497691295184, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991946564885497, 'Stressed Variance': 438.01233972233547, 'Stressed Steady State Time': 13.63330807809682}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3799999999999999,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.15671105719985054, 'rho': 849.8382870958076, 'd': 0.733497691295184, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991946564885497, 'Stressed Variance': 438.01233972233547, 'Stressed Steady State Time': 13.63330807809682}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3799999999999999,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 0.15671105719985054, 'rho': 849.8382870958076, 'd': 0.733497691295184, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991946564885497, 'Stressed Variance': 438.01233972233547, 'Stressed Steady State Time': 13.63330807809682}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.3799999999999999,0.9625
