Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Conv1D Attention Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.027878787878787, 'Stressed Variance': 1797.117101561065, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.6375,0.3625,0.6,0.45,0.4375,0.45,0.725,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.129545454545454, 'Stressed Variance': 1823.136324035813, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.65,0.525,0.6125,0.525,0.5625,0.45,0.7125,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.129545454545454, 'Stressed Variance': 1823.136324035813, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.65,0.525,0.6125,0.525,0.5625,0.45,0.7125,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.129545454545454, 'Stressed Variance': 1823.136324035813, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.65,0.525,0.6125,0.525,0.5625,0.45,0.7125,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.129545454545454, 'Stressed Variance': 1823.136324035813, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.65,0.525,0.6125,0.525,0.5625,0.45,0.7125,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.129545454545454, 'Stressed Variance': 1823.136324035813, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.65,0.525,0.6125,0.525,0.5625,0.45,0.7125,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.129545454545454, 'Stressed Variance': 1823.136324035813, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.65,0.525,0.6125,0.525,0.5625,0.45,0.7125,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.129545454545454, 'Stressed Variance': 1823.136324035813, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.65,0.525,0.6125,0.525,0.5625,0.45,0.7125,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.129545454545454, 'Stressed Variance': 1823.136324035813, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.65,0.525,0.6125,0.525,0.5625,0.45,0.7125,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.039874870264435994, 'rho': 3322.896699490692, 'd': 0.7344844448629673, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.129545454545454, 'Stressed Variance': 1823.136324035813, 'Stressed Steady State Time': 13.614992216568588}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.479999999999999,0.65,0.525,0.6125,0.525,0.5625,0.45,0.7125,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.30375, 'Stressed Variance': 1849.5870162405301, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6375,0.5,0.5,0.525,0.5,0.45,0.6875,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.539772727272727, 'Stressed Variance': 1881.0295544938015, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6625,0.4625,0.525,0.525,0.6,0.45,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.539772727272727, 'Stressed Variance': 1881.0295544938015, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6625,0.4625,0.525,0.525,0.6,0.45,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.539772727272727, 'Stressed Variance': 1881.0295544938015, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6625,0.4625,0.525,0.525,0.6,0.45,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.539772727272727, 'Stressed Variance': 1881.0295544938015, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6625,0.4625,0.525,0.525,0.6,0.45,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.539772727272727, 'Stressed Variance': 1881.0295544938015, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6625,0.4625,0.525,0.525,0.6,0.45,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.539772727272727, 'Stressed Variance': 1881.0295544938015, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6625,0.4625,0.525,0.525,0.6,0.45,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.539772727272727, 'Stressed Variance': 1881.0295544938015, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6625,0.4625,0.525,0.525,0.6,0.45,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.539772727272727, 'Stressed Variance': 1881.0295544938015, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6625,0.4625,0.525,0.525,0.6,0.45,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.03960643395696851, 'rho': 3345.378634502932, 'd': 0.734486744118122, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.539772727272727, 'Stressed Variance': 1881.0295544938015, 'Stressed Steady State Time': 13.614949595866056}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.489999999999999,0.6625,0.4625,0.525,0.525,0.6,0.45,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.708295454545455, 'Stressed Variance': 1973.6182039127063, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.6375,0.4875,0.525,0.475,0.6125,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.846363636363636, 'Stressed Variance': 2032.7379867768595, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.5875,0.55,0.6125,0.525,0.5625,0.45,0.7125,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.846363636363636, 'Stressed Variance': 2032.7379867768595, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.5875,0.55,0.6125,0.525,0.5625,0.45,0.7125,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.846363636363636, 'Stressed Variance': 2032.7379867768595, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.5875,0.55,0.6125,0.525,0.5625,0.45,0.7125,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.846363636363636, 'Stressed Variance': 2032.7379867768595, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.5875,0.55,0.6125,0.525,0.5625,0.45,0.7125,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.846363636363636, 'Stressed Variance': 2032.7379867768595, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.5875,0.55,0.6125,0.525,0.5625,0.45,0.7125,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.846363636363636, 'Stressed Variance': 2032.7379867768595, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.5875,0.55,0.6125,0.525,0.5625,0.45,0.7125,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.846363636363636, 'Stressed Variance': 2032.7379867768595, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.5875,0.55,0.6125,0.525,0.5625,0.45,0.7125,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.846363636363636, 'Stressed Variance': 2032.7379867768595, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.5875,0.55,0.6125,0.525,0.5625,0.45,0.7125,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.0393415877164491, 'rho': 3367.8605676120046, 'd': 0.7344890127687539, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.846363636363636, 'Stressed Variance': 2032.7379867768595, 'Stressed Steady State Time': 13.614907542733242}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.4999999999999991,0.5875,0.55,0.6125,0.525,0.5625,0.45,0.7125,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.982575757575757, 'Stressed Variance': 1757.3168933654729, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.65,0.4375,0.55,0.45,0.5625,0.45,0.7,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.971477272727272, 'Stressed Variance': 1754.4780879691803, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.6375,0.55,0.625,0.55,0.6,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.971477272727272, 'Stressed Variance': 1754.4780879691803, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.6375,0.55,0.625,0.55,0.6,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.971477272727272, 'Stressed Variance': 1754.4780879691803, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.6375,0.55,0.625,0.55,0.6,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.971477272727272, 'Stressed Variance': 1754.4780879691803, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.6375,0.55,0.625,0.55,0.6,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.971477272727272, 'Stressed Variance': 1754.4780879691803, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.6375,0.55,0.625,0.55,0.6,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.971477272727272, 'Stressed Variance': 1754.4780879691803, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.6375,0.55,0.625,0.55,0.6,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.971477272727272, 'Stressed Variance': 1754.4780879691803, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.6375,0.55,0.625,0.55,0.6,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.971477272727272, 'Stressed Variance': 1754.4780879691803, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.6375,0.55,0.625,0.55,0.6,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.039080260000547436, 'rho': 3390.342498888265, 'd': 0.734491251421895, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.971477272727272, 'Stressed Variance': 1754.4780879691803, 'Stressed Steady State Time': 13.614866045907409}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5099999999999991,0.6375,0.55,0.625,0.55,0.6,0.45,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.03882238115503596, 'rho': 3412.8244283134595, 'd': 0.7344934606685808, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.016666666666667, 'Stressed Variance': 1827.3199494949495, 'Stressed Steady State Time': 13.614825094422747}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",1.5199999999999994,0.6375,0.45,0.625,0.45,0.4625,0.45,0.7125,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.03882238115503596, 'rho': 3412.8244283134595, 'd': 0.7344934606685808, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.096666666666666, 'Stressed Variance': 1923.482170707071, 'Stressed Steady State Time': 13.614825094422747}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5199999999999994,0.6,0.475,0.6375,0.5,0.55,0.45,0.7125,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.03882238115503596, 'rho': 3412.8244283134595, 'd': 0.7344934606685808, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.096666666666666, 'Stressed Variance': 1923.482170707071, 'Stressed Steady State Time': 13.614825094422747}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5199999999999994,0.6,0.475,0.6375,0.5,0.55,0.45,0.7125,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.03882238115503596, 'rho': 3412.8244283134595, 'd': 0.7344934606685808, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.096666666666666, 'Stressed Variance': 1923.482170707071, 'Stressed Steady State Time': 13.614825094422747}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5199999999999994,0.6,0.475,0.6375,0.5,0.55,0.45,0.7125,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.03882238115503596, 'rho': 3412.8244283134595, 'd': 0.7344934606685808, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.096666666666666, 'Stressed Variance': 1923.482170707071, 'Stressed Steady State Time': 13.614825094422747}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5199999999999994,0.6,0.475,0.6375,0.5,0.55,0.45,0.7125,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.03882238115503596, 'rho': 3412.8244283134595, 'd': 0.7344934606685808, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.096666666666666, 'Stressed Variance': 1923.482170707071, 'Stressed Steady State Time': 13.614825094422747}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",1.5199999999999994,0.6,0.475,0.6375,0.5,0.55,0.45,0.7125,0.5375
