label,time_0.0,time_1.0,time_2.0,time_3.0,time_4.0,time_5.0,time_6.0,time_7.0,time_8.0,time_9.0,time_10.0,time_11.0,time_12.0,time_13.0,time_14.0,time_15.0,time_16.0,time_17.0,time_18.0,time_19.0,time_20.0,time_21.0,time_22.0,time_23.0,time_24.0,time_25.0,time_26.0,time_27.0,time_28.0,time_29.0,time_30.0,time_31.0,time_32.0,time_33.0,time_34.0,time_35.0,time_36.0,time_37.0,time_38.0,time_39.0,time_40.0,time_41.0,time_42.0,time_43.0,time_44.0,time_45.0,time_46.0,time_47.0,time_48.0,time_49.0,time_50.0,time_51.0,time_52.0,time_53.0,time_54.0,time_55.0,time_56.0,time_57.0,time_58.0,time_59.0,time_60.0,time_61.0,time_62.0,time_63.0,time_64.0,time_65.0,time_66.0,time_67.0,time_68.0,time_69.0,time_70.0,time_71.0,time_72.0,time_73.0,time_74.0,time_75.0,time_76.0,time_77.0,time_78.0,time_79.0,time_80.0,time_81.0,time_82.0,time_83.0,time_84.0,time_85.0,time_86.0,time_87.0,time_88.0,time_89.0,time_90.0,time_91.0,time_92.0,time_93.0,time_94.0,time_95.0,time_96.0,time_97.0,time_98.0,time_99.0,time_100.0,time_101.0,time_102.0,time_103.0,time_104.0,time_105.0,time_106.0,time_107.0,time_108.0,time_109.0,time_110.0,time_111.0,time_112.0,time_113.0,time_114.0,time_115.0,time_116.0,time_117.0,time_118.0,time_119.0,time_120.0,time_121.0,time_122.0,time_123.0,time_124.0,time_125.0,time_126.0,time_127.0,time_128.0,time_129.0,time_130.0,time_131.0,time_132.0,time_133.0,time_134.0,time_135.0,time_136.0,time_137.0,time_138.0,time_139.0,time_140.0,time_141.0,time_142.0,time_143.0,time_144.0,time_145.0,time_146.0,time_147.0,time_148.0,time_149.0,time_150.0,time_151.0,time_152.0,time_153.0
1,0,61,23,45,18,20,6,1,0,0,36,13,6,21,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,56,381,296,112,33,12,7,3,1,0,0,0,0,0,0,0,0,0,0,28,8,1,0,0,0,0,0,0,0,0,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,276,149,53,26,10,5,2,0,42,22,5,1,0,0,0
1,0,132,45,20,4,2,1,0,0,0,0,151,57,19,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,59,26,135,58,17,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,0,25,22,9,3,2,0,0,0,0,107,90,31,10
1,0,45,15,8,2,0,0,0,0,47,13,3,0,0,19,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,65,26,14,3,0,0,0,0,0,0,0,0,0,0,0,108,36,15,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,55,27,9,4,1,0,0,126,48,25,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,98,34,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,79,32,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,12,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,86,28,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,43,18,3,1,1,0,0,0,182,103,35,12,5,1,0,0,0,0,0,0,0,0,0,65,23,6,170,78,21,6,3,0,0,32,10,7,47
1,0,244,96,32,14,7,1,1,1,0,0,0,0,0,0,0,112,45,24,11,4,1,0,0,0,35,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,35,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,36,16,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,112,36,239,89,159,67,25,7,5
1,0,99,36,15,54,20,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,2,1,0,0,26,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,57,34,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,44,15,5,2,2,2,1,1,1,83,33,7,3,1
1,0,76,25,7,2,0,0,0,0,0,0,0,61,30,11,6,0,0,0,0,49,19,7,3,1,0,0,82,32,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,123,255,89,35,11,3,1,0,52,21,6,173,55,21,81,26,10,4,3,0,0,0,0,0,0,57,21,7,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,27,13,2,0,0,0,0,4,2,2,1,1,1,0,0,0,0,0,0,5,2,1,0,0,0,0,53,25,7,1,0,0,0,0,0,0,23,12,13,4,1
1,0,20,6,0,0,0,0,0,0,0,0,0,0,59,16,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,86,37,17,5,2,0,63,16,5,1,1,0,0,0,0,0,0,0,0,0,105,36,18,7,3,1,1,1,0,0,0,0,0,29,8,1,0,76,28,12,18,6,2,0,0,0,0,6,0,63,76,26,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,159,64,23,7,2,1,0,0,0,39,16,4,2,1,0,134,52,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,291,98,55,23,9,5,3
1,0,7,2,2,2,1,1,58,25,6,3,0,0,0,31,10,6,124,67,28,13,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,203,95,32,11,7,2,2,1,1,1,0,0,0,0,80,31,10,4,0,0,122,51,17,6,2,1,193,81,19,8,1,1,0,42,12,6,3,1,0,0,0,27,7,1,0,0,59,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,5,2,1,1,0,0,0,0,0,0,0,0,46,17,1,0,0,219,74,29,12,3,3
1,0,55,16,7,4,153,71,23,9,4,2,2,1,1,1,0,0,0,0,140,48,13,2,2,1,1,1,1,1,0,44,15,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,178,69,23,11,4,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,112,44,13,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,256,105,29,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17,4,1,0,0,6,3,125,46,18,7,2,54,22,7,4,3,117,53,16,8,3,0,0,0,0,0,0,0,0,204,88,30,12,4,1,0,0,0,0,0,0,0,0,0,0,0,48,13,2,0,0,0,0,0,0,32,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,13,2,152,178,68,18,5,2,0,0,0,0,0,0,0,0,0,0,18,6,5,3,1,0,0,0,0,239,86,31,9,4,105,55,18,5,3,1,1,1,0,69,99,32,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,42,19,9,34,16,7,5,1
1,0,157,58,24,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,56,27,13,7,1,1,0,0,0,1,0,114,51,12,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,39,15,7,4,3,2,0,0,0,0,0,145,48,21,7,17,6,4,1,3,79,28,10,5,60,21,10,5,49,22,9,3,1,1,0,0,0,0,288,106,37,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,20,8,4,1
1,0,33,17,6,0,0,0,0,0,0,0,0,0,0,0,0,48,16,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,23,11,139,53,18,6,7,3,2,1,1,0,0,168,62,19,6,1,1,0,0,0,0,54,17,6,4,1,0,0,0,0,0,1,0,34,11,19,1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,3,2,0,64,27,9,2,0
1,0,36,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,54,22,5,1,0,0,0,0,4,1,0,193,71,30,10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,16,37,12,4,1,0,0,36,9,1,37,10,136,43,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,242,92,30,10,2,0,0,0,43,13,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
1,0,16,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,58,22,11,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,39,11,5,2,1,0,53,24,13,5,1,0,0,0,0,4,2,1,1,0,0,92,157,330,128,47,16,7,1,1,0,0,0,0,0,0,0,0,0,0,42,19,8,2,442,207,90,25,13,244,91,41,22,8,2,1,0,0,0,87,40,14,5,2,1,0,0,0,0,0,0,0,0,0,0,33,13,4,0,0,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,18,5,2,2,1,1,12,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,32,14,4,0,31,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,3,1,1,1,0,0,0,0,0,0,0,0,110,46,23,10,5,3,2,2,0,78,28,13,4,2,61,15,3,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
