Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.0805970149253732, 'Stressed Variance': 105.83671307640901, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.2971268656716415, 'Normal Variance': 1308.2057827898752, 'Normal Steady State Time': 10.0})",0.11,0.825,0.625,0.725,0.625,0.65,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.0728731343283582, 'Stressed Variance': 128.64562234211405, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.166194029850746, 'Normal Variance': 1266.5372302907106, 'Normal Steady State Time': 10.0})",0.11,0.85,0.675,0.7875,0.6625,0.7125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.1195522388059702, 'Stressed Variance': 113.75869233682334, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.27294776119403, 'Normal Variance': 1319.6146413107042, 'Normal Steady State Time': 10.0})",0.11,0.8,0.6,0.7,0.5875,0.6875,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.05205223880597, 'Stressed Variance': 126.62090996742036, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.0873134328358205, 'Normal Variance': 1252.3829733793718, 'Normal Steady State Time': 10.0})",0.11,0.7375,0.6625,0.725,0.6625,0.775,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.077089552238806, 'Stressed Variance': 109.42368406660728, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.119477611940298, 'Normal Variance': 1273.0679639062153, 'Normal Steady State Time': 10.0})",0.11,0.7625,0.55,0.6125,0.5125,0.65,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.0561940298507462, 'Stressed Variance': 126.89669297727781, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.164067164179104, 'Normal Variance': 1273.2031939059366, 'Normal Steady State Time': 10.0})",0.11,0.8,0.65,0.7625,0.575,0.675,0.4
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.0517537313432836, 'Stressed Variance': 105.07564244681446, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.266529850746268, 'Normal Variance': 1305.4590737789597, 'Normal Steady State Time': 10.0})",0.11,0.8125,0.6375,0.6875,0.6125,0.7125,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.175634328358209, 'Stressed Variance': 135.5847122841947, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.137276119402985, 'Normal Variance': 1285.8076851177882, 'Normal Steady State Time': 10.0})",0.11,0.7625,0.65,0.7,0.6,0.675,0.6
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.0865671641791044, 'Stressed Variance': 111.74959567832482, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.262238805970149, 'Normal Variance': 1299.2217531967033, 'Normal Steady State Time': 10.0})",0.11,0.7875,0.5875,0.6125,0.5625,0.6,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2044.31791276591, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.0779477611940298, 'Stressed Variance': 128.86620026592783, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.104253731343284, 'Normal Variance': 1265.4403251893516, 'Normal Steady State Time': 10.0})",0.11,0.8375,0.6375,0.775,0.65,0.725,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.1168283582089553, 'Stressed Variance': 120.15929889591223, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.137462686567164, 'Normal Variance': 1272.2820741590554, 'Normal Steady State Time': 10.0})",0.12,0.7625,0.55,0.6875,0.5625,0.6625,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2150373134328358, 'Stressed Variance': 126.83745298368231, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.937425373134328, 'Normal Variance': 1182.0965694906997, 'Normal Steady State Time': 10.0})",0.12,0.7,0.65,0.6375,0.6125,0.6875,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.0728358208955224, 'Stressed Variance': 116.01782927155269, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.259365671641791, 'Normal Variance': 1320.294333925986, 'Normal Steady State Time': 10.0})",0.12,0.8125,0.6375,0.7,0.6,0.725,0.4875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2415298507462686, 'Stressed Variance': 130.26617825657164, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.115559701492537, 'Normal Variance': 1265.7366086419584, 'Normal Steady State Time': 10.0})",0.12,0.7625,0.575,0.7125,0.5625,0.7125,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.147089552238806, 'Stressed Variance': 127.76791690242815, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.196492537313433, 'Normal Variance': 1290.719823518601, 'Normal Steady State Time': 10.0})",0.12,0.8125,0.6125,0.7375,0.525,0.6375,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2366044776119403, 'Stressed Variance': 134.14010041072623, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.11115671641791, 'Normal Variance': 1265.1484277664847, 'Normal Steady State Time': 10.0})",0.12,0.7875,0.5875,0.6875,0.55,0.7,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.0683955223880597, 'Stressed Variance': 115.95789667938293, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.101455223880597, 'Normal Variance': 1261.7932516136668, 'Normal Steady State Time': 10.0})",0.12,0.8125,0.65,0.7,0.65,0.6875,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2761940298507464, 'Stressed Variance': 135.97035864891956, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.181305970149253, 'Normal Variance': 1289.949926652651, 'Normal Steady State Time': 10.0})",0.12,0.775,0.575,0.65,0.575,0.725,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.1160820895522388, 'Stressed Variance': 124.88081599326131, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.22660447761194, 'Normal Variance': 1300.9274936943082, 'Normal Steady State Time': 10.0})",0.12,0.8375,0.6125,0.675,0.5375,0.6875,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2142.50043061580, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2370522388059702, 'Stressed Variance': 133.89406743010687, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.1136940298507465, 'Normal Variance': 1276.4837527720538, 'Normal Steady State Time': 10.0})",0.12,0.7125,0.525,0.6875,0.5375,0.7125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2273507462686568, 'Stressed Variance': 136.3013340262308, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.39115671641791, 'Normal Variance': 1331.7962128411114, 'Normal Steady State Time': 10.0})",0.13,0.8,0.575,0.65,0.5375,0.6625,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2751492537313434, 'Stressed Variance': 147.66294960458902, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.185746268656716, 'Normal Variance': 1285.7801998162172, 'Normal Steady State Time': 10.0})",0.13,0.8125,0.5625,0.675,0.5875,0.725,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2032462686567165, 'Stressed Variance': 134.2731312527846, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.266044776119403, 'Normal Variance': 1306.3833246547115, 'Normal Steady State Time': 10.0})",0.13,0.825,0.7125,0.725,0.6875,0.775,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2805970149253731, 'Stressed Variance': 150.64850412118508, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.016529850746268, 'Normal Variance': 1251.3164804953776, 'Normal Steady State Time': 10.0})",0.13,0.6875,0.6125,0.6375,0.6375,0.6,0.55
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.3715298507462688, 'Stressed Variance': 146.38133124164625, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.278171641791045, 'Normal Variance': 1320.4009414332254, 'Normal Steady State Time': 10.0})",0.13,0.7625,0.675,0.7,0.5875,0.65,0.4
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2918656716417911, 'Stressed Variance': 155.8672771162842, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.160820895522388, 'Normal Variance': 1281.3909276843394, 'Normal Steady State Time': 10.0})",0.13,0.775,0.6375,0.6375,0.6375,0.675,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.338544776119403, 'Stressed Variance': 150.76811131515927, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.289701492537313, 'Normal Variance': 1323.9903267765649, 'Normal Steady State Time': 10.0})",0.13,0.775,0.6375,0.7625,0.6375,0.6875,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2670149253731344, 'Stressed Variance': 146.19952392515037, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.120261194029851, 'Normal Variance': 1279.8349029168523, 'Normal Steady State Time': 10.0})",0.13,0.725,0.6625,0.6875,0.675,0.6875,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2103731343283581, 'Stressed Variance': 135.2758923980842, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.319589552238806, 'Normal Variance': 1310.876631174816, 'Normal Steady State Time': 10.0})",0.13,0.8125,0.7,0.8125,0.7,0.75,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2236.37663686648, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.3242164179104479, 'Stressed Variance': 160.9919359531633, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.0511567164179105, 'Normal Variance': 1253.6450322440965, 'Normal Steady State Time': 10.0})",0.13,0.7625,0.6,0.725,0.625,0.7125,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2416044776119404, 'Stressed Variance': 155.06517205251725, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.29910447761194, 'Normal Variance': 1330.524939496547, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.7375,0.575,0.6375,0.5625,0.6625,0.4
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.3236567164179105, 'Stressed Variance': 170.65770901648474, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.120298507462687, 'Normal Variance': 1279.8368715526844, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.775,0.6625,0.6875,0.625,0.725,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.204402985074627, 'Stressed Variance': 150.92381643461798, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.298768656716418, 'Normal Variance': 1307.1505507225997, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.7125,0.6,0.6875,0.625,0.625,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.3226492537313432, 'Stressed Variance': 172.9107855187681, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.136940298507462, 'Normal Variance': 1277.405948847182, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.8125,0.625,0.65,0.575,0.6625,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2419776119402985, 'Stressed Variance': 151.87111101442414, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.294813432835821, 'Normal Variance': 1309.917973099521, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.8,0.6625,0.7375,0.65,0.7,0.575
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.3460074626865672, 'Stressed Variance': 173.62971913427268, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.049738805970149, 'Normal Variance': 1259.699652916852, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.775,0.5875,0.7125,0.5125,0.6375,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.1836567164179104, 'Stressed Variance': 146.7964940911116, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.323880597014925, 'Normal Variance': 1312.0743550902205, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.7875,0.55,0.725,0.525,0.675,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.3270522388059702, 'Stressed Variance': 174.3092681763756, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.051268656716418, 'Normal Variance': 1229.2798342114054, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.825,0.7,0.6375,0.7,0.7875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2540671641791046, 'Stressed Variance': 155.16175584623525, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.242761194029851, 'Normal Variance': 1308.8486789429717, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.8,0.6625,0.75,0.7,0.675,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2326.46788687391, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.352910447761194, 'Stressed Variance': 172.9332900367565, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 4.9845149253731345, 'Normal Variance': 1194.4127826005233, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.775,0.625,0.7125,0.6625,0.7375,0.35
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2413.19812601222, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.3888059701492537, 'Stressed Variance': 169.82218812653153, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.34365671641791, 'Normal Variance': 1327.8161537926042, 'Normal Steady State Time': 10.0})",0.14999999999999997,0.8125,0.6125,0.7375,0.65,0.75,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2413.19812601222, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.366044776119403, 'Stressed Variance': 205.8734739084429, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.051902985074626, 'Normal Variance': 1229.0370448861104, 'Normal Steady State Time': 10.0})",0.14999999999999997,0.75,0.725,0.6875,0.6125,0.7375,0.5375
