Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY002A Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.0373438565693321, 'rho': 3547.715968733213, 'd': 0.7345061298304953, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.629545454545454, 'Stressed Variance': 1964.6873846418732, 'Stressed Steady State Time': 13.614590258501636}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5799999999999994,0.65,0.5125,0.55,0.5625,0.55,0.45,0.5875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.0373438565693321, 'rho': 3547.715968733213, 'd': 0.7345061298304953, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.629545454545454, 'Stressed Variance': 1964.6873846418732, 'Stressed Steady State Time': 13.614590258501636}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5799999999999994,0.65,0.5125,0.55,0.5625,0.55,0.45,0.5875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.0373438565693321, 'rho': 3547.715968733213, 'd': 0.7345061298304953, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.629545454545454, 'Stressed Variance': 1964.6873846418732, 'Stressed Steady State Time': 13.614590258501636}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5799999999999994,0.65,0.5125,0.55,0.5625,0.55,0.45,0.5875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.0373438565693321, 'rho': 3547.715968733213, 'd': 0.7345061298304953, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.629545454545454, 'Stressed Variance': 1964.6873846418732, 'Stressed Steady State Time': 13.614590258501636}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5799999999999994,0.65,0.5125,0.55,0.5625,0.55,0.45,0.5875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.0373438565693321, 'rho': 3547.715968733213, 'd': 0.7345061298304953, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.629545454545454, 'Stressed Variance': 1964.6873846418732, 'Stressed Steady State Time': 13.614590258501636}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5799999999999994,0.65,0.5125,0.55,0.5625,0.55,0.45,0.5875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.0373438565693321, 'rho': 3547.715968733213, 'd': 0.7345061298304953, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.629545454545454, 'Stressed Variance': 1964.6873846418732, 'Stressed Steady State Time': 13.614590258501636}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5799999999999994,0.65,0.5125,0.55,0.5625,0.55,0.45,0.5875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.46340909090909, 'Stressed Variance': 1976.191842923554, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.65,0.5625,0.5375,0.5375,0.5875,0.45,0.55,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.549166666666666, 'Stressed Variance': 1990.8196280934342, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.6125,0.525,0.5375,0.55,0.5625,0.45,0.6625,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.549166666666666, 'Stressed Variance': 1990.8196280934342, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.6125,0.525,0.5375,0.55,0.5625,0.45,0.6625,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.549166666666666, 'Stressed Variance': 1990.8196280934342, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.6125,0.525,0.5375,0.55,0.5625,0.45,0.6625,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.549166666666666, 'Stressed Variance': 1990.8196280934342, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.6125,0.525,0.5375,0.55,0.5625,0.45,0.6625,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.549166666666666, 'Stressed Variance': 1990.8196280934342, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.6125,0.525,0.5375,0.55,0.5625,0.45,0.6625,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.549166666666666, 'Stressed Variance': 1990.8196280934342, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.6125,0.525,0.5375,0.55,0.5625,0.45,0.6625,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.549166666666666, 'Stressed Variance': 1990.8196280934342, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.6125,0.525,0.5375,0.55,0.5625,0.45,0.6625,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.549166666666666, 'Stressed Variance': 1990.8196280934342, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.6125,0.525,0.5375,0.55,0.5625,0.45,0.6625,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.037108315717088954, 'rho': 3570.1978864026496, 'd': 0.7345081485465831, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.549166666666666, 'Stressed Variance': 1990.8196280934342, 'Stressed Steady State Time': 13.61455284027498}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5899999999999994,0.6125,0.525,0.5375,0.55,0.5625,0.45,0.6625,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.469962121212122, 'Stressed Variance': 2000.5428098470497, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.6,0.4625,0.5375,0.4625,0.425,0.45,0.525,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.551856060606061, 'Stressed Variance': 1998.5940533732212, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.675,0.4875,0.4875,0.4625,0.4625,0.45,0.5125,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.551856060606061, 'Stressed Variance': 1998.5940533732212, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.675,0.4875,0.4875,0.4625,0.4625,0.45,0.5125,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.551856060606061, 'Stressed Variance': 1998.5940533732212, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.675,0.4875,0.4875,0.4625,0.4625,0.45,0.5125,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.551856060606061, 'Stressed Variance': 1998.5940533732212, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.675,0.4875,0.4875,0.4625,0.4625,0.45,0.5125,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.551856060606061, 'Stressed Variance': 1998.5940533732212, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.675,0.4875,0.4875,0.4625,0.4625,0.45,0.5125,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.551856060606061, 'Stressed Variance': 1998.5940533732212, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.675,0.4875,0.4875,0.4625,0.4625,0.45,0.5125,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.551856060606061, 'Stressed Variance': 1998.5940533732212, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.675,0.4875,0.4875,0.4625,0.4625,0.45,0.5125,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.551856060606061, 'Stressed Variance': 1998.5940533732212, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.675,0.4875,0.4875,0.4625,0.4625,0.45,0.5125,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03687572753866179, 'rho': 3592.6798025239964, 'd': 0.734510142069024, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.551856060606061, 'Stressed Variance': 1998.5940533732212, 'Stressed Steady State Time': 13.614515889230937}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.5999999999999994,0.675,0.4875,0.4875,0.4625,0.4625,0.45,0.5125,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.371174242424242, 'Stressed Variance': 1992.0920402878214, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6875,0.575,0.625,0.6,0.5875,0.45,0.45,0.775
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.844204545454545, 'Stressed Variance': 1879.5591747460398, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6375,0.5625,0.575,0.5625,0.5375,0.45,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.844204545454545, 'Stressed Variance': 1879.5591747460398, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6375,0.5625,0.575,0.5625,0.5375,0.45,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.844204545454545, 'Stressed Variance': 1879.5591747460398, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6375,0.5625,0.575,0.5625,0.5375,0.45,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.844204545454545, 'Stressed Variance': 1879.5591747460398, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6375,0.5625,0.575,0.5625,0.5375,0.45,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.844204545454545, 'Stressed Variance': 1879.5591747460398, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6375,0.5625,0.575,0.5625,0.5375,0.45,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.844204545454545, 'Stressed Variance': 1879.5591747460398, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6375,0.5625,0.575,0.5625,0.5375,0.45,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.844204545454545, 'Stressed Variance': 1879.5591747460398, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6375,0.5625,0.575,0.5625,0.5375,0.45,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.844204545454545, 'Stressed Variance': 1879.5591747460398, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6375,0.5625,0.575,0.5625,0.5375,0.45,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03664603685864227, 'rho': 3615.1617171014195, 'd': 0.7345121108665139, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.844204545454545, 'Stressed Variance': 1879.5591747460398, 'Stressed Steady State Time': 13.614479396674433}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6099999999999994,0.6375,0.5625,0.575,0.5625,0.5375,0.45,0.4875,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.03641918986796771, 'rho': 3637.64363022174, 'd': 0.734514055396207, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.609734848484848, 'Stressed Variance': 1815.30864008121, 'Stressed Steady State Time': 13.614443354124603}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",1.6199999999999992,0.7375,0.5,0.65,0.475,0.6,0.45,0.5375,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 0.03641918986796771, 'rho': 3637.64363022174, 'd': 0.734514055396207, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.734848484848484, 'Stressed Variance': 1862.826815886134, 'Stressed Steady State Time': 13.614443354124603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6199999999999992,0.7125,0.5125,0.55,0.525,0.5875,0.45,0.55,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.03641918986796771, 'rho': 3637.64363022174, 'd': 0.734514055396207, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.734848484848484, 'Stressed Variance': 1862.826815886134, 'Stressed Steady State Time': 13.614443354124603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6199999999999992,0.7125,0.5125,0.55,0.525,0.5875,0.45,0.55,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.03641918986796771, 'rho': 3637.64363022174, 'd': 0.734514055396207, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.734848484848484, 'Stressed Variance': 1862.826815886134, 'Stressed Steady State Time': 13.614443354124603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6199999999999992,0.7125,0.5125,0.55,0.525,0.5875,0.45,0.55,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.03641918986796771, 'rho': 3637.64363022174, 'd': 0.734514055396207, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.734848484848484, 'Stressed Variance': 1862.826815886134, 'Stressed Steady State Time': 13.614443354124603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6199999999999992,0.7125,0.5125,0.55,0.525,0.5875,0.45,0.55,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.03641918986796771, 'rho': 3637.64363022174, 'd': 0.734514055396207, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.734848484848484, 'Stressed Variance': 1862.826815886134, 'Stressed Steady State Time': 13.614443354124603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6199999999999992,0.7125,0.5125,0.55,0.525,0.5875,0.45,0.55,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.03641918986796771, 'rho': 3637.64363022174, 'd': 0.734514055396207, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.734848484848484, 'Stressed Variance': 1862.826815886134, 'Stressed Steady State Time': 13.614443354124603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6199999999999992,0.7125,0.5125,0.55,0.525,0.5875,0.45,0.55,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.03641918986796771, 'rho': 3637.64363022174, 'd': 0.734514055396207, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.734848484848484, 'Stressed Variance': 1862.826815886134, 'Stressed Steady State Time': 13.614443354124603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6199999999999992,0.7125,0.5125,0.55,0.525,0.5875,0.45,0.55,0.7875
"[{'sigma_u': 18.0, 'sigma_b': 0.03641918986796771, 'rho': 3637.64363022174, 'd': 0.734514055396207, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.734848484848484, 'Stressed Variance': 1862.826815886134, 'Stressed Steady State Time': 13.614443354124603}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",1.6199999999999992,0.7125,0.5125,0.55,0.525,0.5875,0.45,0.55,0.7875
