Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY002A Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.984469696969697, 'Stressed Variance': 141.80165274908174, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.5875,1.0,0.5875,0.8,0.45,0.9,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,0.725,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,0.725,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,0.725,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,0.725,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,0.725,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,0.725,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,0.725,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,0.725,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024514344, 'rho': 265.1334098792223, 'd': 0.7306768380658819, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868839124}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,0.725,0.45
