Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.7471507435313984, 'rho': 250.91523907104622, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.00526119402985, 'Stressed Variance': 131.71306933476276, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.11,1.0,0.6625,1.0,0.675,0.875,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6824769000913911, 'rho': 273.7451904608456, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.0155223880597, 'Stressed Variance': 144.95304263755847, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.12,1.0,0.6625,1.0,0.675,0.8125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.6281176495581654, 'rho': 296.57051768195663, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.091828358208955, 'Stressed Variance': 160.62981382128535, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13,0.9875,0.7,1.0,0.7375,0.925,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.58178580725118, 'rho': 319.392215754441, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.114328358208954, 'Stressed Variance': 172.53491410113614, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.13999999999999999,0.9875,0.7125,1.0,0.725,0.9125,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.5418243010977655, 'rho': 342.211013118668, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.022611940298507, 'Stressed Variance': 182.48180213299182, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.14999999999999997,0.9875,0.6375,1.0,0.6625,0.8625,0.45
