class_name,label,tf,x,y,representation,method,TF & Condition,TF
Cup9,2,Cup9,-2.169618886323375,0.035215848440722945,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.215130843853857,-0.0010095889133662883,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1794114606184687,0.05082276994330711,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1585279336242627,0.0443829518583189,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1664549838412817,0.029820997568943904,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.3306490712212193,0.010748490338489576,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1344152964853476,0.03815584957678207,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1984851601333593,0.05008915526101639,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.016238206177181,0.1607825031920733,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.300276380790399,0.03059737701538327,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2528351259182293,0.08097041817818701,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.342124123411771,0.044514984732163275,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2111652797736694,0.021734749251414113,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1817424664572966,0.01993155604137403,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.030862507853631,0.09291844118275444,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2109155485022742,0.03539141588916317,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1905636082172717,0.009435597797423891,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1972214251764144,0.012637941668845918,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1681915009121835,0.08040624293878311,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.4004302111046942,0.006461930721970774,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.161341118171031,0.0790060471740142,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1816237028981065,0.04052077748287327,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2111905182217244,0.04467190721540038,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1071453239332634,0.061480593419890844,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.195542879152466,0.03340464724636449,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.4558332382892036,0.007717100806550899,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.3126960489094404,-0.004909749735285758,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.413874790300375,0.010339094258825987,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2126333591983762,0.005685750336521005,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1520354441115948,0.07493642833306809,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.4050579833969654,0.049011246112968566,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.182252568065518,0.03458091791688275,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.335017501059543,0.0500096430758708,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.2723480182875697,0.016132999658147393,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.346426313801944,0.012820539282902627,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.286591288745008,0.003358783504665162,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.245863664487433,0.03535816748149355,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.3293785146625745,0.017611789013874373,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.1519787016226615,0.03781605396727764,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.395787353847585,-0.011153238420126542,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.4722885710399027,-0.005404344643223159,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.211430410210372,0.03707877791763672,Raw SVM features,PCA,Cup9,Cup9
Cup9,2,Cup9,-2.116305074615218,0.11030249512008714,Raw SVM features,PCA,Cup9,Cup9
