Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5510212477204446, 'sigma_b': 0.44897875227955536, 'rho': 57.005231623350426, 'd': 0.25594137767658925, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.96419811320754, 'Stressed Variance': 2566.737821998487, 'Stressed Steady State Time': 39.07144710550135, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.51,1.0,0.51,1.0,0.675,0.9625,0.6375,0.85,0.45,1.0,1.0,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5609078956845908, 'sigma_b': 0.4390921043154093, 'rho': 58.31134748378013, 'd': 0.25604052272120065, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.3522641509434, 'Stressed Variance': 2727.9771363830546, 'Stressed Steady State Time': 39.05631770205717, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.52,1.0,0.52,1.0,0.55,0.975,0.5375,0.7125,0.45,1.0,0.9875,1.0,1.0,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5705479921600185, 'sigma_b': 0.4294520078399815, 'rho': 59.64208891604765, 'd': 0.2561341483676737, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 100.29877358490566, 'Stressed Variance': 2785.3598852883583, 'Stressed Steady State Time': 39.04204130425151, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.53,1.0,0.53,0.9875,0.6375,0.925,0.5625,0.7125,0.45,0.975,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5799456132296006, 'sigma_b': 0.4200543867703995, 'rho': 60.99749560914721, 'd': 0.2562226561263047, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.69212264150943, 'Stressed Variance': 2926.677711532129, 'Stressed Steady State Time': 39.028554895124145, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.54,1.0,0.54,1.0,0.45,0.9375,0.45,0.7125,0.45,1.0,1.0,1.0,0.975,1.0
"[{'sigma_u': 0.5799456132296006, 'sigma_b': 0.4200543867703995, 'rho': 60.99749560914721, 'd': 0.2562226561263047, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 99.69212264150943, 'Stressed Variance': 2926.677711532129, 'Stressed Steady State Time': 39.028554895124145, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.54,1.0,0.54,1.0,0.45,0.9375,0.45,0.7125,0.45,1.0,1.0,1.0,0.975,1.0
