Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy,IY006B Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 3.6454356358465785, 'rho': 199.6640258486529, 'd': 0.7231526368234532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.27875, 'Stressed Variance': 393.81051813446965, 'Stressed Steady State Time': 13.828339261717092}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3300000000000007,0.32,0.4256000000000002,0.975,0.55,0.8375,0.5875,0.575,0.45,0.6375,0.9875,0.5125,0.7125,0.875
"[{'sigma_u': 18.0, 'sigma_b': 3.6454356358465785, 'rho': 199.6640258486529, 'd': 0.7231526368234532, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.27875, 'Stressed Variance': 393.81051813446965, 'Stressed Steady State Time': 13.828339261717092}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3300000000000007,0.32,0.4256000000000002,0.975,0.55,0.8375,0.5875,0.575,0.45,0.6375,0.9875,0.5125,0.7125,0.875
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5931211935874927, 'rho': 202.12041275775468, 'd': 0.7232920093346659, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.3957196969697, 'Stressed Variance': 397.75882258809685, 'Stressed Steady State Time': 13.825674652757042}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3400000000000007,0.32,0.4288000000000002,0.9625,0.5375,0.7625,0.5375,0.5625,0.45,0.475,1.0,0.5125,0.5375,0.8625
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.5419490161732785, 'rho': 204.59337890318992, 'd': 0.7234290326842556, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.28420454545454, 'Stressed Variance': 400.5388111096763, 'Stressed Steady State Time': 13.823055957396933}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3500000000000008,0.32,0.4320000000000003,0.9875,0.5375,0.8625,0.525,0.5875,0.45,0.5875,0.9875,0.5,0.75,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.4918848693662485, 'rho': 207.08295197446435, 'd': 0.7235637570126544, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.48189393939394, 'Stressed Variance': 409.4270964129936, 'Stressed Steady State Time': 13.820482166335358}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3600000000000008,0.32,0.4352000000000002,0.9875,0.6125,0.8,0.6,0.625,0.45,0.5125,1.0,0.425,0.7375,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.9625
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.95
"[{'sigma_u': 18.0, 'sigma_b': 3.442895851206446, 'rho': 209.58915881864644, 'd': 0.7236962310755569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.50844696969697, 'Stressed Variance': 416.59674683052106, 'Stressed Steady State Time': 13.817952299044043}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",1.3700000000000008,0.32,0.4384000000000002,0.975,0.575,0.775,0.525,0.5625,0.45,0.525,0.9375,0.55,0.775,0.9625
