Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 3.925442175627145, 'rho': 187.6297537120231, 'd': 0.722418699969269, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.27393939393939, 'Stressed Variance': 360.5000329660239, 'Stressed Steady State Time': 13.842388078306099}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2800000000000007,0.32,0.40960000000000024,0.9375,0.525,0.6625,0.4875,0.45,0.45,0.5,1.0,0.4125,0.6
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.267878787878786, 'Stressed Variance': 364.27028640955, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.42189393939394, 'Normal Variance': 221.9824600493572, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.9,0.5125,0.75,0.4875,0.55,0.45,0.6,0.9625,0.5875,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.47628787878788, 'Stressed Variance': 365.4254225837924, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.925,0.5375,0.7625,0.5875,0.5875,0.45,0.55,0.9875,0.5,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.47628787878788, 'Stressed Variance': 365.4254225837924, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.925,0.5375,0.7625,0.5875,0.5875,0.45,0.55,0.9875,0.5,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.47628787878788, 'Stressed Variance': 365.4254225837924, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.925,0.5375,0.7625,0.5875,0.5875,0.45,0.55,0.9875,0.5,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.47628787878788, 'Stressed Variance': 365.4254225837924, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.925,0.5375,0.7625,0.5875,0.5875,0.45,0.55,0.9875,0.5,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.47628787878788, 'Stressed Variance': 365.4254225837924, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.925,0.5375,0.7625,0.5875,0.5875,0.45,0.55,0.9875,0.5,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.47628787878788, 'Stressed Variance': 365.4254225837924, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.925,0.5375,0.7625,0.5875,0.5875,0.45,0.55,0.9875,0.5,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.47628787878788, 'Stressed Variance': 365.4254225837924, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.925,0.5375,0.7625,0.5875,0.5875,0.45,0.55,0.9875,0.5,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.47628787878788, 'Stressed Variance': 365.4254225837924, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.925,0.5375,0.7625,0.5875,0.5875,0.45,0.55,0.9875,0.5,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.866851259626577, 'rho': 190.0036883563215, 'd': 0.7225706131164685, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.47628787878788, 'Stressed Variance': 365.4254225837924, 'Stressed Steady State Time': 13.839477856523535}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.2900000000000007,0.32,0.4128000000000002,0.925,0.5375,0.7625,0.5875,0.5875,0.45,0.55,0.9875,0.5,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.23924242424243, 'Stressed Variance': 372.13071760789717, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.42189393939394, 'Normal Variance': 221.9824600493572, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.4875,0.7625,0.55,0.6125,0.45,0.525,0.975,0.4625,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.11037878787879, 'Stressed Variance': 373.1638013716713, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.45,0.825,0.4,0.475,0.45,0.5,1.0,0.5,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.11037878787879, 'Stressed Variance': 373.1638013716713, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.45,0.825,0.4,0.475,0.45,0.5,1.0,0.5,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.11037878787879, 'Stressed Variance': 373.1638013716713, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.45,0.825,0.4,0.475,0.45,0.5,1.0,0.5,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.11037878787879, 'Stressed Variance': 373.1638013716713, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.45,0.825,0.4,0.475,0.45,0.5,1.0,0.5,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.11037878787879, 'Stressed Variance': 373.1638013716713, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.45,0.825,0.4,0.475,0.45,0.5,1.0,0.5,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.11037878787879, 'Stressed Variance': 373.1638013716713, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.45,0.825,0.4,0.475,0.45,0.5,1.0,0.5,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.11037878787879, 'Stressed Variance': 373.1638013716713, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.45,0.825,0.4,0.475,0.45,0.5,1.0,0.5,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.11037878787879, 'Stressed Variance': 373.1638013716713, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.45,0.825,0.4,0.475,0.45,0.5,1.0,0.5,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.8095963087746783, 'rho': 192.39405141375343, 'd': 0.7227199072559742, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.11037878787879, 'Stressed Variance': 373.1638013716713, 'Stressed Steady State Time': 13.836618999424049}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3000000000000007,0.32,0.41600000000000026,0.9625,0.45,0.825,0.4,0.475,0.45,0.5,1.0,0.5,0.65
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.2455303030303, 'Stressed Variance': 382.40100274908167, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.42189393939394, 'Normal Variance': 221.9824600493572, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.95,0.4625,0.85,0.4875,0.5125,0.45,0.575,0.9875,0.525,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.347803030303034, 'Stressed Variance': 378.7775179005969, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.9375,0.5,0.7875,0.5,0.5875,0.45,0.575,0.95,0.525,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.347803030303034, 'Stressed Variance': 378.7775179005969, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.9375,0.5,0.7875,0.5,0.5875,0.45,0.575,0.95,0.525,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.347803030303034, 'Stressed Variance': 378.7775179005969, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.9375,0.5,0.7875,0.5,0.5875,0.45,0.575,0.95,0.525,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.347803030303034, 'Stressed Variance': 378.7775179005969, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.9375,0.5,0.7875,0.5,0.5875,0.45,0.575,0.95,0.525,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.347803030303034, 'Stressed Variance': 378.7775179005969, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.9375,0.5,0.7875,0.5,0.5875,0.45,0.575,0.95,0.525,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.347803030303034, 'Stressed Variance': 378.7775179005969, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.9375,0.5,0.7875,0.5,0.5875,0.45,0.575,0.95,0.525,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.347803030303034, 'Stressed Variance': 378.7775179005969, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.9375,0.5,0.7875,0.5,0.5875,0.45,0.575,0.95,0.525,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.347803030303034, 'Stressed Variance': 378.7775179005969, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.9375,0.5,0.7875,0.5,0.5875,0.45,0.575,0.95,0.525,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.7536353103628475, 'rho': 194.80087477347357, 'd': 0.7228666391591936, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.347803030303034, 'Stressed Variance': 378.7775179005969, 'Stressed Steady State Time': 13.833810357649865}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3100000000000007,0.32,0.41920000000000024,0.9375,0.5,0.7875,0.5,0.5875,0.45,0.575,0.95,0.525,0.6625
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.28, 'Stressed Variance': 395.03069090909094, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.42189393939394, 'Normal Variance': 221.9824600493572, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.95,0.5125,0.8125,0.5625,0.525,0.45,0.5125,1.0,0.4875,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.213484848484846, 'Stressed Variance': 401.720484825528, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.975,0.4375,0.725,0.4125,0.475,0.45,0.675,1.0,0.4875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.213484848484846, 'Stressed Variance': 401.720484825528, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.975,0.4375,0.725,0.4125,0.475,0.45,0.675,1.0,0.4875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.213484848484846, 'Stressed Variance': 401.720484825528, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.975,0.4375,0.725,0.4125,0.475,0.45,0.675,1.0,0.4875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.213484848484846, 'Stressed Variance': 401.720484825528, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.975,0.4375,0.725,0.4125,0.475,0.45,0.675,1.0,0.4875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.213484848484846, 'Stressed Variance': 401.720484825528, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.975,0.4375,0.725,0.4125,0.475,0.45,0.675,1.0,0.4875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.213484848484846, 'Stressed Variance': 401.720484825528, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.975,0.4375,0.725,0.4125,0.475,0.45,0.675,1.0,0.4875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.213484848484846, 'Stressed Variance': 401.720484825528, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.975,0.4375,0.725,0.4125,0.475,0.45,0.675,1.0,0.4875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.213484848484846, 'Stressed Variance': 401.720484825528, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.975,0.4375,0.725,0.4125,0.475,0.45,0.675,1.0,0.4875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.6989279698983375, 'rho': 197.22418962755702, 'd': 0.7230108646860914, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.213484848484846, 'Stressed Variance': 401.720484825528, 'Stressed Steady State Time': 13.831050802178035}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3200000000000007,0.32,0.4224000000000002,0.975,0.4375,0.725,0.4125,0.475,0.45,0.675,1.0,0.4875,0.7125
"[{'sigma_u': 18.0, 'sigma_b': 3.6454356338448064, 'rho': 199.6640257974773, 'd': 0.7231526370589171, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.341780303030305, 'Stressed Variance': 393.02890592143024, 'Stressed Steady State Time': 13.828339257214482}, {'Normal Mean': 46.42189393939394, 'Normal Variance': 221.9824600493572, 'Normal Steady State Time': 13.610205889568428})",1.3300000000000007,0.32,0.42560000000000026,0.975,0.475,0.7875,0.5,0.6,0.45,0.475,1.0,0.45,0.825
"[{'sigma_u': 18.0, 'sigma_b': 3.6454356338448064, 'rho': 199.6640257974773, 'd': 0.7231526370589171, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.27875, 'Stressed Variance': 393.81051813446965, 'Stressed Steady State Time': 13.828339257214482}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205889568428})",1.3300000000000007,0.32,0.42560000000000026,0.975,0.55,0.8375,0.5875,0.575,0.45,0.6375,0.9875,0.5125,0.7125
