Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.09755577978122458, 'sigma_b': 2.0, 'rho': 24.836648233491808, 'd': 1.1840756976714235, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.965, 'Stressed Variance': 27.289579195804198, 'Stressed Steady State Time': 8.445405998675401}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.52,0.5,0.26,1.0,0.6125,1.0,0.6125,0.7,0.45,1.0,0.9375,1.0,0.4875,0.7625
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1112790844141451, 'sigma_b': 2.0, 'rho': 25.456470473999943, 'd': 1.205736875902591, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.975454545454546, 'Stressed Variance': 28.387089828353464, 'Stressed Steady State Time': 8.293683472618515}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.53,0.5,0.265,1.0,0.625,1.0,0.6125,0.75,0.45,0.9875,0.6875,1.0,0.4,0.9875
"[{'sigma_u': 0.1251588400790996, 'sigma_b': 2.0, 'rho': 26.06471366904655, 'd': 1.226483083404552, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.934335664335663, 'Stressed Variance': 29.3362476355812, 'Stressed Steady State Time': 8.153394152197636}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.54,0.5,0.27,1.0,0.5625,1.0,0.5375,0.7,0.45,0.5125,0.725,1.0,0.6375,0.775
"[{'sigma_u': 0.1251588400790996, 'sigma_b': 2.0, 'rho': 26.06471366904655, 'd': 1.226483083404552, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.934335664335663, 'Stressed Variance': 29.3362476355812, 'Stressed Steady State Time': 8.153394152197636}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.54,0.5,0.27,1.0,0.5625,1.0,0.5375,0.7,0.45,0.5125,0.725,1.0,0.6375,0.775
"[{'sigma_u': 0.1251588400790996, 'sigma_b': 2.0, 'rho': 26.06471366904655, 'd': 1.226483083404552, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.934335664335663, 'Stressed Variance': 29.3362476355812, 'Stressed Steady State Time': 8.153394152197636}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.54,0.5,0.27,1.0,0.5625,1.0,0.5375,0.7,0.45,0.5125,0.725,1.0,0.6375,0.775
