timestamp,omid,experiment,stage,key_index,fl_channels,error_type,error,details
2026-04-10T15:19:53,4103,4103_2026_03_27_TFScreen_plate2_lowN2_00,load,median_GFP,['GFP'],KeyError,'postprocessing is missing from 3 file(s) in 4103_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 3 file(s) in 4103_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:53,4103,4103_2026_03_27_TFScreen_plate2_lowN2_00,load,median_GFP_Z,['GFP_Z'],KeyError,'postprocessing is missing from 3 file(s) in 4103_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 3 file(s) in 4103_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:53,4103,4103_2026_03_27_TFScreen_plate2_lowN2_00,load,buddings,['buddings'],KeyError,'postprocessing is missing from 3 file(s) in 4103_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 3 file(s) in 4103_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:54,4105,4105_2026_03_27_TFScreen_plate2_lowN2_00,load,median_GFP,['GFP'],KeyError,'postprocessing is missing from 1 file(s) in 4105_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4105_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:55,4105,4105_2026_03_27_TFScreen_plate2_lowN2_00,load,median_GFP_Z,['GFP_Z'],KeyError,'postprocessing is missing from 1 file(s) in 4105_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4105_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:55,4105,4105_2026_03_27_TFScreen_plate2_lowN2_00,load,buddings,['buddings'],KeyError,'postprocessing is missing from 1 file(s) in 4105_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4105_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:56,4104,4104_2026_03_27_TFScreen_plate2_lowN2_00,load,median_GFP,['GFP'],KeyError,'postprocessing is missing from 1 file(s) in 4104_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4104_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:56,4104,4104_2026_03_27_TFScreen_plate2_lowN2_00,load,median_GFP_Z,['GFP_Z'],KeyError,'postprocessing is missing from 1 file(s) in 4104_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4104_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:56,4104,4104_2026_03_27_TFScreen_plate2_lowN2_00,load,buddings,['buddings'],KeyError,'postprocessing is missing from 1 file(s) in 4104_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4104_2026_03_27_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:57,4106,4106_2026_03_31_TFScreen_plate2_lowN2_00,load,median_GFP,['GFP'],KeyError,'postprocessing is missing from 1 file(s) in 4106_2026_03_31_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4106_2026_03_31_TFScreen_plate2_lowN2_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
