sigma_b,mu_target,cv_target,autocorr_target,variance,fano_factor,success,biologically_appropriate,error_type,error_message,rho,sigma_u,d
0.01,5.0,0.30000000000000004,100.0,2.250000000000001,0.4500000000000002,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.4,0.1,4.0,0.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.4,1.0,4.0,0.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.4,10.0,4.0,0.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.4,100.0,4.0,0.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.5,0.1,6.25,1.25,True,True,,,81.94191119341006,0.0005003363878833581,15.607483068440589
0.01,5.0,0.5,1.0,6.25,1.25,True,True,,,8.167652189690045,0.0005033767636303744,1.5552431134284075
0.01,5.0,0.5,10.0,6.25,1.25,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.5,100.0,6.25,1.25,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.6,0.1,9.0,1.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.6,1.0,9.0,1.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.6,10.0,9.0,1.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.6,100.0,9.0,1.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.7000000000000001,0.1,12.250000000000004,2.4500000000000006,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.7000000000000001,1.0,12.250000000000004,2.4500000000000006,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.7000000000000001,10.0,12.250000000000004,2.4500000000000006,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.7000000000000001,100.0,12.250000000000004,2.4500000000000006,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.8,0.1,16.0,3.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.8,1.0,16.0,3.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.8,10.0,16.0,3.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.8,100.0,16.0,3.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.9,0.1,20.25,4.05,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.9,1.0,20.25,4.05,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.9,10.0,20.25,4.05,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,0.9,100.0,20.25,4.05,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.0,0.1,25.0,5.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.0,1.0,25.0,5.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.0,10.0,25.0,5.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.0,100.0,25.0,5.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.2,0.1,36.0,7.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.2,1.0,36.0,7.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.2,10.0,36.0,7.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.2,100.0,36.0,7.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.4,0.1,49.0,9.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.4,1.0,49.0,9.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.4,10.0,49.0,9.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.4,100.0,49.0,9.8,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.5999999999999999,0.1,63.999999999999986,12.799999999999997,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.5999999999999999,1.0,63.999999999999986,12.799999999999997,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.5999999999999999,10.0,63.999999999999986,12.799999999999997,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.5999999999999999,100.0,63.999999999999986,12.799999999999997,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.7999999999999998,0.1,81.0,16.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.7999999999999998,1.0,81.0,16.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.7999999999999998,10.0,81.0,16.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,1.7999999999999998,100.0,81.0,16.2,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,2.0,0.1,100.0,20.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,2.0,1.0,100.0,20.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,2.0,10.0,100.0,20.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,2.0,100.0,100.0,20.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,2.5,0.1,156.25,31.25,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,2.5,1.0,156.25,31.25,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,2.5,10.0,156.25,31.25,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,2.5,100.0,156.25,31.25,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,3.0,0.1,225.0,45.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,3.0,1.0,225.0,45.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,3.0,10.0,225.0,45.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,5.0,3.0,100.0,225.0,45.0,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.1,0.1,1.0,0.1,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.1,1.0,1.0,0.1,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.1,10.0,1.0,0.1,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.1,100.0,1.0,0.1,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.2,0.1,4.0,0.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.2,1.0,4.0,0.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.2,10.0,4.0,0.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.2,100.0,4.0,0.4,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.30000000000000004,0.1,9.000000000000004,0.9000000000000004,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.30000000000000004,1.0,9.000000000000004,0.9000000000000004,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.30000000000000004,10.0,9.000000000000004,0.9000000000000004,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.30000000000000004,100.0,9.000000000000004,0.9000000000000004,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.4,0.1,16.0,1.6,False,True,value_error,Could not find a valid solution for parameter d,,,
0.01,10.0,0.4,1.0,16.0,1.6,True,True,,,7424.865352516809,0.0006000090797761707,700.4583955199398
0.01,10.0,0.4,10.0,16.0,1.6,False,True,value_error,Could not find a valid solution for parameter d,,,
