Parameter Sets,Stats,T_ac Ratio,Normal T_ac,Stress T_ac,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8802473502407292, 'sigma_b': 0.11975264975927083, 'rho': 129.97375645100655, 'd': 0.15564701734174155, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 101.6441975308642, 'Stressed Variance': 9931.725626825179, 'Stressed Steady State Time': 64.24793851361642, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.14999999999999997,50,7.499999999999998,0.7875,0.575,0.9375,0.525,0.7875,0.45,0.5125,0.9875,1.0,0.8125,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8870289406225523, 'sigma_b': 0.11297105937744761, 'rho': 127.71102252185804, 'd': 0.14427649508471374, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.49355263157895, 'Stressed Variance': 10330.039826852495, 'Stressed Steady State Time': 69.31135937373843, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.15999999999999998,50,7.999999999999999,0.7625,0.5875,0.9375,0.55,0.8125,0.45,0.45,0.9875,0.9875,0.775,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8930747673939777, 'sigma_b': 0.1069252326060223, 'rho': 125.75919378517256, 'd': 0.13446831047825408, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.83795774647888, 'Stressed Variance': 9956.218601463002, 'Stressed Steady State Time': 74.36696396670484, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.16999999999999998,50,8.5,0.7875,0.525,0.95,0.475,0.8875,0.45,0.525,1.0,0.9875,0.85,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.8984995194175988, 'sigma_b': 0.1015004805824012, 'rho': 124.05796713589433, 'd': 0.1259194328436901, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 93.87848484848485, 'Stressed Variance': 8863.627809825528, 'Stressed Steady State Time': 79.41585960296919, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.17999999999999997,50,8.999999999999998,0.675,0.65,0.975,0.6125,0.8625,0.45,0.475,1.0,0.9875,0.825,1.0
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9033951167863592, 'sigma_b': 0.09660488321364076, 'rho': 122.56172085131526, 'd': 0.1184006072930415, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 99.4466393442623, 'Stressed Variance': 9553.34977559124, 'Stressed Steady State Time': 84.45902625524546, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.18999999999999995,50,9.499999999999996,0.7375,0.6125,0.975,0.5125,0.8125,0.45,0.525,1.0,0.975,0.85,0.9875
"[{'sigma_u': 0.9078360848787845, 'sigma_b': 0.09216391512121552, 'rho': 121.23530563168761, 'd': 0.1117352041793348, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': 100.59375, 'Stressed Variance': 9155.007103794644, 'Stressed Steady State Time': 89.4973081532121, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",0.19999999999999996,50,9.999999999999998,0.7375,0.6125,0.975,0.4625,0.775,0.45,0.475,1.0,1.0,0.7,1.0
