architecture,hidden_size,num_layers,dropout_rate,learning_rate,batch_size,epochs,train_acc,val_acc,test_acc,test_acc_std,time
Vanilla LSTM,64,2,0.05,0.0005,128,100,0.648046875,0.6859375,0.59625,0.0575135853516366,4.338918447494507
Vanilla LSTM,64,2,0.05,0.0005,128,150,0.6109375,0.6375,0.625,0.0524672516909357,4.392566442489624
Vanilla LSTM,64,2,0.1,0.01,32,50,0.478515625,0.5,0.50875,0.0217154898632289,3.646041393280029
Vanilla LSTM,64,2,0.1,0.01,32,100,0.498828125,0.5,0.501,0.003,3.643521308898926
Vanilla LSTM,64,2,0.1,0.01,32,150,0.50546875,0.5,0.5015,0.0045,3.658226251602173
Vanilla LSTM,64,2,0.1,0.01,64,50,0.485546875,0.5,0.5311250000000001,0.064280756257219,1.9500603675842283
Vanilla LSTM,64,2,0.1,0.01,64,100,0.484765625,0.5,0.5013750000000001,0.0084122306791956,1.9384121894836424
Vanilla LSTM,64,2,0.1,0.01,64,150,0.50234375,0.5,0.527625,0.0759696691120871,3.16202163696289
Vanilla LSTM,64,2,0.1,0.01,128,50,0.494140625,0.5,0.5122500000000001,0.0167406690427832,1.22271466255188
Vanilla LSTM,64,2,0.1,0.01,128,100,0.498046875,0.5,0.5163749999999999,0.0174503760704461,1.2268011569976809
Vanilla LSTM,64,2,0.1,0.01,128,150,0.6171875,0.6046875,0.6017499999999999,0.1501438893195457,4.941287279129028
Vanilla LSTM,64,2,0.1,0.001,32,50,0.651171875,0.6921875,0.617375,0.087860774097432,11.384631156921388
Vanilla LSTM,64,2,0.1,0.001,32,100,0.693359375,0.7125,0.623375,0.0860941526760093,15.250418424606323
Vanilla LSTM,64,2,0.1,0.001,32,150,0.646875,0.6828125,0.637875,0.1352971844681181,8.45543098449707
Vanilla LSTM,64,2,0.1,0.001,64,50,0.608203125,0.5984375,0.6244999999999999,0.0707862098151893,8.70119333267212
Vanilla LSTM,64,2,0.1,0.001,64,100,0.801953125,0.8125,0.6872499999999999,0.1019448380252771,15.129695653915403
Vanilla LSTM,64,2,0.1,0.001,64,150,0.659375,0.675,0.6297499999999999,0.0603500207125067,5.764841318130493
Vanilla LSTM,64,2,0.1,0.001,128,50,0.71953125,0.7359375,0.677375,0.0370913146841683,5.026537895202637
Vanilla LSTM,64,2,0.1,0.001,128,100,0.76953125,0.8,0.68475,0.0740941124516651,6.258155584335327
Vanilla LSTM,64,2,0.1,0.001,128,150,0.690625,0.7078125,0.633875,0.0817665312031762,4.346316337585449
Vanilla LSTM,64,2,0.1,0.0001,32,50,0.523828125,0.5484375,0.52225,0.0162192015833086,8.076197147369385
Vanilla LSTM,64,2,0.1,0.0001,32,100,0.515234375,0.521875,0.533875,0.0362260696874502,7.124149560928345
Vanilla LSTM,64,2,0.1,0.0001,32,150,0.51796875,0.515625,0.528625,0.0258387427132203,3.5489957332611084
Vanilla LSTM,64,2,0.1,0.0001,64,50,0.525390625,0.54375,0.512375,0.0101773338846674,5.878667116165161
Vanilla LSTM,64,2,0.1,0.0001,64,100,0.529296875,0.5234375,0.510875,0.0094546615486753,4.305608510971069
Vanilla LSTM,64,2,0.1,0.0001,64,150,0.531640625,0.5359375,0.514375,0.0076290972598335,4.531936407089233
Vanilla LSTM,64,2,0.1,0.0001,128,50,0.5,0.5,0.5033749999999999,0.0069383445431889,1.094919204711914
Vanilla LSTM,64,2,0.1,0.0001,128,100,0.50234375,0.5,0.502875,0.0049386865662846,1.1147136688232422
Vanilla LSTM,64,2,0.1,0.0001,128,150,0.498828125,0.5,0.5,0.0,1.100367784500122
Vanilla LSTM,64,2,0.1,0.0005,32,50,0.608203125,0.6265625,0.6187500000000001,0.0715498078264365,8.09444284439087
Vanilla LSTM,64,2,0.1,0.0005,32,100,0.571484375,0.5671875,0.665375,0.0844246150420598,4.826918363571167
Vanilla LSTM,64,2,0.1,0.0005,32,150,0.725390625,0.7296875,0.7027500000000001,0.0956487715551015,23.2086443901062
Vanilla LSTM,64,2,0.1,0.0005,64,50,0.6921875,0.68125,0.63,0.0696037894083361,8.60312533378601
Vanilla LSTM,64,2,0.1,0.0005,64,100,0.73125,0.746875,0.641,0.0633512036191894,8.400429248809814
Vanilla LSTM,64,2,0.1,0.0005,64,150,0.703125,0.7015625,0.66525,0.0642743144654223,11.744636058807371
Vanilla LSTM,64,2,0.1,0.0005,128,50,0.68125,0.6953125,0.583875,0.0481029170113414,4.09835147857666
Vanilla LSTM,64,2,0.1,0.0005,128,100,0.6015625,0.621875,0.6141249999999999,0.0563805429647498,4.001142263412476
Vanilla LSTM,64,2,0.1,0.0005,128,150,0.61484375,0.646875,0.578125,0.0581223117657926,6.014785528182983
Vanilla LSTM,64,2,0.2,0.01,32,50,0.498828125,0.5,0.505625,0.0126891932367664,3.459167957305908
Vanilla LSTM,64,2,0.2,0.01,32,100,0.525,0.534375,0.505875,0.0107099544816959,4.400760650634766
Vanilla LSTM,64,2,0.2,0.01,32,150,0.4875,0.5,0.545875,0.1331188965737021,3.777989387512207
Vanilla LSTM,64,2,0.2,0.01,64,50,0.493359375,0.5,0.50025,0.0007499999999999,1.870047092437744
Vanilla LSTM,64,2,0.2,0.01,64,100,0.79609375,0.7875,0.5353749999999999,0.0807775688232816,12.19028377532959
Vanilla LSTM,64,2,0.2,0.01,64,150,0.498828125,0.5,0.546125,0.1273681303348683,2.017452478408813
Vanilla LSTM,64,2,0.2,0.01,128,50,0.506640625,0.559375,0.562125,0.1009223866394369,2.3081843852996826
Vanilla LSTM,64,2,0.2,0.01,128,100,0.502734375,0.525,0.570875,0.0978536055799682,1.35107684135437
Vanilla LSTM,64,2,0.2,0.01,128,150,0.49375,0.5125,0.5245,0.0246297584235006,1.357600212097168
Vanilla LSTM,64,2,0.2,0.001,32,50,0.7296875,0.759375,0.576875,0.0681158250702434,15.583776235580444
Vanilla LSTM,64,2,0.2,0.001,32,100,0.496875,0.5,0.6243749999999999,0.0869720680736062,4.084789276123047
Vanilla LSTM,64,2,0.2,0.001,32,150,0.508203125,0.51875,0.6071249999999999,0.1041018881913291,4.405791521072388
Vanilla LSTM,64,2,0.2,0.001,64,50,0.7375,0.7671875,0.63225,0.0658093838293597,8.386425018310547
Vanilla LSTM,64,2,0.2,0.001,64,100,0.6078125,0.6109375,0.642125,0.0700670437866476,3.700252532958984
Vanilla LSTM,64,2,0.2,0.001,64,150,0.521484375,0.5265625,0.6326250000000001,0.0783271384961815,4.700299263000488
Vanilla LSTM,64,2,0.2,0.001,128,50,0.653125,0.646875,0.619375,0.0771590281496598,4.323929786682129
Vanilla LSTM,64,2,0.2,0.001,128,100,0.62578125,0.6265625,0.629875,0.0479337107368081,2.9887378215789795
Vanilla LSTM,64,2,0.2,0.001,128,150,0.70625,0.7203125,0.6661249999999999,0.0505422162652173,6.054509401321411
Vanilla LSTM,64,2,0.2,0.0001,32,50,0.5359375,0.5375,0.5117499999999999,0.0068738635424337,9.370140790939333
Vanilla LSTM,64,2,0.2,0.0001,32,100,0.521484375,0.5296875,0.5242500000000001,0.0281024909927928,4.395578145980835
Vanilla LSTM,64,2,0.2,0.0001,32,150,0.53828125,0.5328125,0.5170000000000001,0.0054543560573178,6.5639848709106445
Vanilla LSTM,64,2,0.2,0.0001,64,50,0.514453125,0.5265625,0.508,0.00775,2.863692283630371
Vanilla LSTM,64,2,0.2,0.0001,64,100,0.508984375,0.5,0.500125,0.0046249999999999,1.85960054397583
Vanilla LSTM,64,2,0.2,0.0001,64,150,0.514453125,0.534375,0.5047499999999999,0.0073058195981012,4.865846157073975
Vanilla LSTM,64,2,0.2,0.0001,128,50,0.515234375,0.4984375,0.500875,0.0045431954613465,1.0719401836395264
Vanilla LSTM,64,2,0.2,0.0001,128,100,0.502734375,0.5,0.5025000000000001,0.0038729833462074,1.07151460647583
Vanilla LSTM,64,2,0.2,0.0001,128,150,0.499609375,0.5,0.500375,0.000800390529679,1.0729806423187256
Vanilla LSTM,64,2,0.2,0.0005,32,50,0.70625,0.7234375,0.6625,0.0571073550429364,15.657945394515991
Vanilla LSTM,64,2,0.2,0.0005,32,100,0.74140625,0.7640625,0.70325,0.0573590664149967,25.965492963790894
Vanilla LSTM,64,2,0.2,0.0005,32,150,0.75,0.734375,0.69375,0.0391271964239708,21.63864016532898
Vanilla LSTM,64,2,0.2,0.0005,64,50,0.699609375,0.7109375,0.61975,0.0590730479999127,8.423412799835205
Vanilla LSTM,64,2,0.2,0.0005,64,100,0.6,0.625,0.633875,0.0452957296552335,8.085208892822266
Vanilla LSTM,64,2,0.2,0.0005,64,150,0.740234375,0.7515625,0.650375,0.0539995659704779,13.271970272064207
Vanilla LSTM,64,2,0.2,0.0005,128,50,0.675,0.678125,0.5622499999999999,0.0411164504790965,4.823318719863892
Vanilla LSTM,64,2,0.2,0.0005,128,100,0.583984375,0.6265625,0.5784999999999999,0.0357237665987224,3.399341344833374
Vanilla LSTM,64,2,0.2,0.0005,128,150,0.526953125,0.5234375,0.5966250000000001,0.0684859702785906,1.367304801940918
Vanilla LSTM,64,2,0.3,0.01,32,50,0.49140625,0.5,0.5015,0.0045,3.486765146255493
Vanilla LSTM,64,2,0.3,0.01,32,100,0.4921875,0.5,0.5015000000000001,0.0045,3.4875974655151367
Vanilla LSTM,64,2,0.3,0.01,32,150,0.6125,0.640625,0.521,0.0438634243989226,15.733817100524902
Vanilla LSTM,64,2,0.3,0.01,64,50,0.5203125,0.53125,0.51425,0.0122372382505204,2.715014934539795
Vanilla LSTM,64,2,0.3,0.01,64,100,0.495703125,0.528125,0.508375,0.0186836325429505,3.895549535751343
Vanilla LSTM,64,2,0.3,0.01,64,150,0.50078125,0.509375,0.500875,0.0094876564545729,2.7206313610076904
Vanilla LSTM,64,2,0.3,0.01,128,50,0.51171875,0.5359375,0.53525,0.0536912469588852,1.0839321613311768
Vanilla LSTM,64,2,0.3,0.01,128,100,0.501953125,0.5,0.565125,0.1140428236453307,1.087646722793579
Vanilla LSTM,64,2,0.3,0.01,128,150,0.494140625,0.5,0.5365,0.0624369682159536,1.0851070880889893
Vanilla LSTM,64,2,0.3,0.001,32,50,0.54453125,0.5828125,0.5613750000000001,0.0564840962130049,5.998900413513184
Vanilla LSTM,64,2,0.3,0.001,32,100,0.48984375,0.515625,0.58975,0.1054851885337462,6.001695871353149
Vanilla LSTM,64,2,0.3,0.001,32,150,0.767578125,0.759375,0.630875,0.1159512963489412,25.35604453086853
Vanilla LSTM,64,2,0.3,0.001,64,50,0.7515625,0.7875,0.6531250000000001,0.0913838914962587,8.44866943359375
Vanilla LSTM,64,2,0.3,0.001,64,100,0.692578125,0.7125,0.6316250000000001,0.0877764383248716,9.28946828842163
Vanilla LSTM,64,2,0.3,0.001,64,150,0.53984375,0.55,0.6575,0.0610199762372946,2.884643793106079
Vanilla LSTM,64,2,0.3,0.001,128,50,0.61953125,0.6390625,0.6176250000000001,0.0346520652342684,2.1445460319519043
Vanilla LSTM,64,2,0.3,0.001,128,100,0.665625,0.6703125,0.647875,0.0647448115681866,4.954007625579834
Vanilla LSTM,64,2,0.3,0.001,128,150,0.5625,0.5484375,0.607875,0.0481632964507206,2.145070791244507
Vanilla LSTM,64,2,0.3,0.0001,32,50,0.522265625,0.53125,0.5085,0.0087106256950921,8.19486951828003
Vanilla LSTM,64,2,0.3,0.0001,32,100,0.519140625,0.53125,0.5090000000000001,0.0105445483544815,5.055182933807373
Vanilla LSTM,64,2,0.3,0.0001,32,150,0.51484375,0.5234375,0.50925,0.0104163333279998,6.000611305236816
Vanilla LSTM,64,2,0.3,0.0001,64,50,0.50625,0.5,0.505375,0.0074801821501885,1.8754651546478271
Vanilla LSTM,64,2,0.3,0.0001,64,100,0.4984375,0.5,0.5025000000000001,0.0052737557774322,1.878912687301636
Vanilla LSTM,64,2,0.3,0.0001,64,150,0.5046875,0.525,0.498625,0.0052276309165816,3.567677021026612
Vanilla LSTM,64,2,0.3,0.0001,128,50,0.503125,0.5,0.500375,0.001125,1.0783586502075195
Vanilla LSTM,64,2,0.3,0.0001,128,100,0.4984375,0.5,0.5005,0.0015,1.082995891571045
Vanilla LSTM,64,2,0.3,0.0001,128,150,0.5046875,0.5,0.499875,0.0008749999999999,1.0820767879486084
Vanilla LSTM,64,2,0.3,0.0005,32,50,0.737109375,0.7421875,0.637875,0.0832110456910619,15.751195669174194
Vanilla LSTM,64,2,0.3,0.0005,32,100,0.603125,0.6125,0.609875,0.0796858088055834,5.374308824539185
Vanilla LSTM,64,2,0.3,0.0005,32,150,0.674609375,0.6828125,0.6476249999999999,0.0554905678922103,12.318764209747314
Vanilla LSTM,64,2,0.3,0.0005,64,50,0.53359375,0.521875,0.56775,0.0650787983908738,2.0422351360321045
Vanilla LSTM,64,2,0.3,0.0005,64,100,0.69140625,0.6859375,0.61825,0.0603199801060975,8.4809091091156
Vanilla LSTM,64,2,0.3,0.0005,64,150,0.66796875,0.690625,0.6490000000000001,0.0478728785430749,11.173115015029907
Vanilla LSTM,64,2,0.3,0.0005,128,50,0.549609375,0.540625,0.589,0.0499868732768914,1.861017704010009
Vanilla LSTM,64,2,0.3,0.0005,128,100,0.542578125,0.5296875,0.5597500000000001,0.0532529341914602,1.7661950588226318
Vanilla LSTM,64,2,0.3,0.0005,128,150,0.541015625,0.5421875,0.5918750000000002,0.0608256987218395,2.0537266731262207
Vanilla LSTM,64,3,0.01,0.01,32,50,0.5015625,0.5,0.5,0.0,4.461616516113281
Vanilla LSTM,64,3,0.01,0.01,32,100,0.503515625,0.5,0.5,0.0,3.985553503036499
Vanilla LSTM,64,3,0.01,0.01,32,150,0.4890625,0.5,0.5,0.0,3.986377000808716
Vanilla LSTM,64,3,0.01,0.01,64,50,0.5015625,0.5,0.5,0.0,2.111425876617432
Vanilla LSTM,64,3,0.01,0.01,64,100,0.50625,0.509375,0.50125,0.0037499999999999,2.492988586425781
Vanilla LSTM,64,3,0.01,0.01,64,150,0.499609375,0.5,0.502375,0.0098813270869858,2.113572597503662
Vanilla LSTM,64,3,0.01,0.01,128,50,0.49921875,0.5078125,0.510125,0.0173335837321657,1.3529226779937744
Vanilla LSTM,64,3,0.01,0.01,128,100,0.489453125,0.5,0.50925,0.0155744181271725,1.2487037181854248
Vanilla LSTM,64,3,0.01,0.01,128,150,0.487890625,0.5,0.538875,0.0819802758290065,2.124257326126098
Vanilla LSTM,64,3,0.01,0.001,32,50,0.625,0.5890625,0.543875,0.0607336654994575,16.532282829284668
Vanilla LSTM,64,3,0.01,0.001,32,100,0.72265625,0.746875,0.6793750000000001,0.1478050341666345,22.93599367141724
Vanilla LSTM,64,3,0.01,0.001,32,150,0.52734375,0.525,0.68725,0.1253978668080123,5.75639796257019
Vanilla LSTM,64,3,0.01,0.001,64,50,0.678515625,0.678125,0.62425,0.0914880456671799,9.47575330734253
Vanilla LSTM,64,3,0.01,0.001,64,100,0.5,0.5,0.6435000000000001,0.0821313734208798,3.0541863441467285
Vanilla LSTM,64,3,0.01,0.001,64,150,0.521484375,0.5203125,0.6602500000000001,0.1203689640231235,3.068330764770508
Vanilla LSTM,64,3,0.01,0.001,128,50,0.576171875,0.5453125,0.63125,0.0937216623838907,2.2109553813934326
Vanilla LSTM,64,3,0.01,0.001,128,100,0.61796875,0.6,0.651375,0.0999413109029494,2.0952723026275635
Vanilla LSTM,64,3,0.01,0.001,128,150,0.692578125,0.715625,0.701625,0.1017642035540985,4.985364437103272
Vanilla LSTM,64,3,0.01,0.0001,32,50,0.580078125,0.5890625,0.5318750000000001,0.0381290981403966,13.989270448684692
Vanilla LSTM,64,3,0.01,0.0001,32,100,0.611328125,0.6390625,0.554625,0.0557563056972034,13.6029155254364
Vanilla LSTM,64,3,0.01,0.0001,32,150,0.530859375,0.5296875,0.529875,0.0429950941968964,9.307031393051147
Vanilla LSTM,64,3,0.01,0.0001,64,50,0.528515625,0.525,0.52175,0.0346193587462275,4.177572965621948
Vanilla LSTM,64,3,0.01,0.0001,64,100,0.51640625,0.525,0.522,0.0419679937571478,2.2922072410583496
Vanilla LSTM,64,3,0.01,0.0001,64,150,0.52421875,0.5296875,0.514375,0.0118881506131105,4.5558180809021
Vanilla LSTM,64,3,0.01,0.0001,128,50,0.51875,0.5140625,0.501125,0.0024011715890373,3.0383899211883545
Vanilla LSTM,64,3,0.01,0.0001,128,100,0.510546875,0.5109375,0.504375,0.0041174172730001,2.179392576217652
Vanilla LSTM,64,3,0.01,0.0001,128,150,0.5,0.5,0.5,0.0,1.210937738418579
Vanilla LSTM,64,3,0.01,0.0005,32,50,0.515234375,0.4890625,0.643625,0.1102531887293968,4.697324514389038
Vanilla LSTM,64,3,0.01,0.0005,32,100,0.498828125,0.5078125,0.6173749999999999,0.0840897028476138,5.039839506149292
Vanilla LSTM,64,3,0.01,0.0005,32,150,0.505078125,0.5171875,0.680375,0.1450043641584625,6.108211040496826
Vanilla LSTM,64,3,0.01,0.0005,64,50,0.6,0.5875,0.635125,0.0722829725799928,8.159015655517578
Vanilla LSTM,64,3,0.01,0.0005,64,100,0.8546875,0.8390625,0.667875,0.1103277078752205,14.41897201538086
Vanilla LSTM,64,3,0.01,0.0005,64,150,0.698828125,0.6703125,0.63925,0.0910137352271622,8.915412425994873
Vanilla LSTM,64,3,0.01,0.0005,128,50,0.58125,0.5640625,0.5565,0.0484954894809816,3.393909454345703
Vanilla LSTM,64,3,0.01,0.0005,128,100,0.5484375,0.5453125,0.59975,0.0681147928133089,2.200082778930664
Vanilla LSTM,64,3,0.01,0.0005,128,150,0.603125,0.596875,0.61225,0.0865913534944453,4.185581684112549
Vanilla LSTM,64,3,0.05,0.01,32,50,0.509765625,0.4984375,0.5028750000000001,0.0058108196495847,5.081387281417847
Vanilla LSTM,64,3,0.05,0.01,32,100,0.491796875,0.5,0.5,0.0,3.9790198802948
Vanilla LSTM,64,3,0.05,0.01,32,150,0.483984375,0.5,0.499125,0.0026249999999999,3.978426218032837
Vanilla LSTM,64,3,0.05,0.01,64,50,0.4921875,0.5,0.501125,0.0033749999999999,2.108839511871338
Vanilla LSTM,64,3,0.05,0.01,64,100,0.494921875,0.5,0.5033749999999999,0.0134053394212903,2.1124460697174072
Vanilla LSTM,64,3,0.05,0.01,64,150,0.497265625,0.5,0.5,0.0,2.299570083618164
Vanilla LSTM,64,3,0.05,0.01,128,50,0.49609375,0.5,0.50175,0.0056789083458002,1.6857547760009766
Vanilla LSTM,64,3,0.05,0.01,128,100,0.492578125,0.5,0.5051249999999999,0.0118116732514914,1.6944944858551023
Vanilla LSTM,64,3,0.05,0.01,128,150,0.50078125,0.5,0.515,0.0337962645864894,2.02634072303772
Vanilla LSTM,64,3,0.05,0.001,32,50,0.703125,0.7546875,0.611,0.1079232945197652,17.97194242477417
Vanilla LSTM,64,3,0.05,0.001,32,100,0.76953125,0.7828125,0.63875,0.1039365792202148,22.50397729873657
Vanilla LSTM,64,3,0.05,0.001,32,150,0.56328125,0.5640625,0.610625,0.1238172165936547,7.178553819656372
Vanilla LSTM,64,3,0.05,0.001,64,50,0.6515625,0.6421875,0.63475,0.0905224419688289,4.748499631881714
